id,type,buff,num,round,prob
1004001,1004,spd,20,0.0,1.0
1004002,1004,spd,30,99.0,1.0
1004003,1004,spd,40,0.0,1.0
1004004,1004,spd,50,0.0,1.0
1004005,1004,spd,60,0.0,1.0
1004006,1004,spd,15,2.0,1.0
1004007,1004,spd,-20,2.0,1.0
1004008,1004,spd,25,2.0,1.0
1004009,1004,spd,10,3.0,1.0
1004010,1004,spd,15,3.0,1.0
1004011,1004,spd,30,3.0,1.0
1004012,1004,spd,-30,3.0,1.0
1004013,1004,spd,5,3.0,1.0
1004014,1004,spd,10,99.0,1.0
1004015,1004,spd,15,99.0,1.0
1004016,1004,spd,-30,4.0,1.0
1004017,1004,spd,-27,4.0,1.0
1004018,1004,spd,-24,4.0,1.0
1004019,1004,spd,-21,4.0,1.0
1004020,1004,spd,-18,4.0,1.0
1004021,1004,spd,-15,4.0,1.0
1004022,1004,spd,-12,4.0,1.0
1004023,1004,spd,-9,4.0,1.0
1004024,1004,spd,-6,4.0,1.0
1004025,1004,spd,-3,4.0,1.0
1004026,1004,spd,15,0.0,1.0
1004027,1004,spd,25,0.0,1.0
1004028,1004,spd,20,3.0,1.0
1004029,1004,spd,-50,2.0,1.0
1004030,1004,spd,10,0.0,1.0
1004031,1004,spd,20,0.0,1.0
1004032,1004,spd,30,0.0,1.0
1004033,1004,spd,25,0.0,1.0
1004034,1004,spd,80,0.0,1.0
1004035,1004,spd,15,2.0,1.0
1004036,1004,spd,20,2.0,1.0
1004037,1004,spd,25,3.0,1.0
1004038,1004,spd,-20,2.0,0.7
1004039,1004,spd,-30,2.0,0.7
1004040,1004,spd,-40,2.0,0.7
1004041,1004,spd,30,0.0,1.0
1004042,1004,spd,35,0.0,1.0
1004043,1004,spd,35,0.0,1.0
1004044,1004,spd,40,0.0,1.0
1004045,1004,spd,40,0.0,1.0
1004046,1004,spd,-40,2.0,0.7
1004047,1004,spd,-40,2.0,0.75
1004048,1004,spd,-40,2.0,0.75
1004049,1004,spd,-40,2.0,0.77
1004050,1004,spd,-40,2.0,0.8
1004051,1004,spd,2,99.0,1.0
1004052,1004,spd,20,3.0,1.0
1004053,1004,spd,65,0.0,1.0
1004054,1004,spd,70,0.0,1.0
1004060,1004,spd,20,0.0,1.0
1004061,1004,spd,40,0.0,1.0
1004062,1004,spd,60,0.0,1.0
1004063,1004,spd,50,0.0,1.0
1004064,1004,spd,55,0.0,1.0
1004065,1004,spd,55,0.0,1.0
1004066,1004,spd,60,0.0,1.0
1004067,1004,spd,60,0.0,1.0
1004068,1004,spd,20,99.0,1.0
1004069,1004,spd,40,99.0,1.0
1004070,1004,spd,80,99.0,1.0
1004071,1004,spd,-35,3.0,1.0
1004072,1004,spd,-30,4.0,1.0
1004073,1004,spd,-30,4.0,1.0
1004074,1004,spd,-30,4.0,1.0
1004075,1004,spd,-30,4.0,1.0
1004076,1004,spd,-30,4.0,1.0
1004077,1004,spd,-30,4.0,1.0
1004078,1004,spd,-30,4.0,1.0
1004079,1004,spd,-31,4.0,1.0
1004080,1004,spd,-31,4.0,1.0
1004081,1004,spd,-31,4.0,1.0
1004082,1004,spd,-31,4.0,1.0
1004083,1004,spd,-31,4.0,1.0
1004084,1004,spd,-31,4.0,1.0
1004085,1004,spd,-31,4.0,1.0
1004086,1004,spd,-31,4.0,1.0
1004087,1004,spd,-32,4.0,1.0
1004088,1004,spd,-32,4.0,1.0
1004089,1004,spd,-32,4.0,1.0
1004090,1004,spd,-32,4.0,1.0
1004091,1004,spd,-32,4.0,1.0
1004092,1004,spd,-32,4.0,1.0
1004093,1004,spd,-32,4.0,1.0
1004094,1004,spd,-32,4.0,1.0
1004095,1004,spd,-33,4.0,1.0
1004096,1004,spd,-33,4.0,1.0
1004097,1004,spd,-33,4.0,1.0
1004098,1004,spd,-33,4.0,1.0
1004099,1004,spd,-33,4.0,1.0
1004100,1004,spd,-33,4.0,1.0
1004101,1004,spd,-33,4.0,1.0
1004102,1004,spd,-33,4.0,1.0
1004103,1004,spd,-34,4.0,1.0
1004104,1004,spd,-34,4.0,1.0
1004105,1004,spd,-34,4.0,1.0
1004106,1004,spd,-34,4.0,1.0
1004107,1004,spd,-34,4.0,1.0
1004108,1004,spd,-34,4.0,1.0
1004109,1004,spd,-34,4.0,1.0
1004110,1004,spd,-34,4.0,1.0
1004111,1004,spd,-35,4.0,1.0
1004112,1004,spd,-35,4.0,1.0
1004113,1004,spd,-35,4.0,1.0
1004114,1004,spd,-35,4.0,1.0
1004115,1004,spd,-35,4.0,1.0
1004116,1004,spd,-35,4.0,1.0
1004117,1004,spd,-35,4.0,1.0
1004118,1004,spd,-35,4.0,1.0
1004119,1004,spd,-36,4.0,1.0
1004120,1004,spd,-36,4.0,1.0
1004121,1004,spd,-36,4.0,1.0
1004122,1004,spd,-36,4.0,1.0
1004123,1004,spd,-36,4.0,1.0
1004124,1004,spd,-36,4.0,1.0
1004125,1004,spd,-36,4.0,1.0
1004126,1004,spd,-36,4.0,1.0
1004127,1004,spd,-37,4.0,1.0
1004128,1004,spd,-37,4.0,1.0
1004129,1004,spd,-37,4.0,1.0
1004130,1004,spd,-37,4.0,1.0
1004131,1004,spd,-37,4.0,1.0
1004132,1004,spd,-30,3.0,1.0
1004133,1004,spd,200,3.0,1.0
1004134,1004,spd,20,0.0,1.0
1004135,1004,spd,40,0.0,1.0
1004136,1004,spd,60,0.0,1.0
1004137,1004,spd,20,0.0,1.0
1004138,1004,spd,40,0.0,1.0
1004139,1004,spd,60,0.0,1.0
1004140,1004,spd,8,99.0,1.0
1004141,1004,spd,8,99.0,1.0
1004142,1004,spd,8,99.0,1.0
1004143,1004,spd,8,99.0,1.0
1004144,1004,spd,20,99.0,1.0
1004145,1004,spd,30,99.0,1.0
1004146,1004,spd,40,99.0,1.0
1004147,1004,spd,20,0.0,1.0
1004148,1004,spd,40,0.0,1.0
1004149,1004,spd,60,0.0,1.0
1004150,1004,spd,20,0.0,1.0
1004151,1004,spd,40,0.0,1.0
1004152,1004,spd,60,0.0,1.0
1004153,1004,spd,-2,2.0,1.0
1004154,1004,spd,-4,2.0,1.0
1004155,1004,spd,-6,2.0,1.0
1004156,1004,spd,-8,2.0,1.0
1004157,1004,spd,-10,2.0,1.0
1004158,1004,spd,5,2.0,1.0
1004159,1004,spd,10,2.0,1.0
1004160,1004,spd,20,0.0,1.0
1004161,1004,spd,40,0.0,1.0
1004162,1004,spd,60,0.0,1.0
1004163,1004,spd,10,2.0,1.0
1004164,1004,spd,20,2.0,1.0
1004165,1004,spd,30,2.0,1.0
1004166,1004,spd,35,2.0,1.0
1004167,1004,spd,35,2.0,1.0
1004168,1004,spd,40,3.0,1.0
1004169,1004,spd,10,0.0,1.0
1004170,1004,spd,20,0.0,1.0
1004171,1004,spd,30,0.0,1.0
1004172,1004,spd,20,0.0,1.0
1004173,1004,spd,40,0.0,1.0
1004174,1004,spd,60,0.0,1.0
1004175,1004,spd,60,0.0,1.0
1004176,1004,spd,60,0.0,1.0
1004177,1004,spd,65,0.0,1.0
1004178,1004,spd,65,0.0,1.0
1004179,1004,spd,70,0.0,1.0
1004180,1004,spd,32,0.0,1.0
1004181,1004,spd,34,0.0,1.0
1004182,1004,spd,36,0.0,1.0
1004183,1004,spd,38,0.0,1.0
1004184,1004,spd,40,0.0,1.0
1004185,1004,spd,10,0.0,1.0
1004186,1004,spd,20,0.0,1.0
1004187,1004,spd,30,0.0,1.0
1004188,1004,spd,2,5.0,1.0
1004189,1004,spd,4,5.0,1.0
1004190,1004,spd,6,5.0,1.0
1004191,1004,spd,8,5.0,1.0
1004192,1004,spd,10,5.0,1.0
1004193,1004,spd,12,5.0,1.0
1004194,1004,spd,14,5.0,1.0
1004195,1004,spd,16,5.0,1.0
1004196,1004,spd,18,5.0,1.0
1004197,1004,spd,20,5.0,1.0
1004198,1004,spd,20,0.0,1.0
1004199,1004,spd,40,0.0,1.0
1004200,1004,spd,60,0.0,1.0
1004201,1004,spd,62,0.0,1.0
1004202,1004,spd,64,0.0,1.0
1004203,1004,spd,66,0.0,1.0
1004204,1004,spd,68,0.0,1.0
1004205,1004,spd,70,0.0,1.0
1004206,1004,spd,20,1.0,1.0
1004207,1004,spd,20,1.0,0.66
1004208,1004,spd,20,1.0,0.33
1004209,1004,spd,40,1.0,1.0
1004210,1004,spd,40,1.0,0.66
1004211,1004,spd,40,1.0,0.33
1004212,1004,spd,60,1.0,1.0
1004213,1004,spd,60,1.0,0.66
1004214,1004,spd,60,1.0,0.33
1004215,1004,spd,20,99.0,1.0
1004216,1004,spd,40,99.0,1.0
1004217,1004,spd,60,99.0,1.0
1004218,1004,spd,62,99.0,1.0
1004219,1004,spd,64,99.0,1.0
1004220,1004,spd,66,99.0,1.0
1004221,1004,spd,68,99.0,1.0
1004222,1004,spd,70,99.0,1.0
1004223,1004,spd,30,1.0,1.0
1004224,1004,spd,60,1.0,1.0
1004225,1004,spd,20,0.0,1.0
1004226,1004,spd,40,0.0,1.0
1004227,1004,spd,60,0.0,1.0
1004228,1004,spd,62,0.0,1.0
1004229,1004,spd,64,0.0,1.0
1004230,1004,spd,66,0.0,1.0
1004231,1004,spd,68,0.0,1.0
1004232,1004,spd,70,0.0,1.0
1004233,1004,spd,10,2.0,1.0
1004234,1004,spd,40,0.0,1.0
1004235,1004,spd,60,0.0,1.0
1004236,1004,spd,80,0.0,1.0
1004237,1004,spd,82,0.0,1.0
1004238,1004,spd,84,0.0,1.0
1004239,1004,spd,86,0.0,1.0
1004240,1004,spd,88,0.0,1.0
1004241,1004,spd,90,0.0,1.0
1004242,1004,spd,20,0.0,1.0
1004243,1004,spd,40,0.0,1.0
1004244,1004,spd,60,0.0,1.0
1004245,1004,spd,62,0.0,1.0
1004246,1004,spd,64,0.0,1.0
1004247,1004,spd,66,0.0,1.0
1004248,1004,spd,68,0.0,1.0
1004249,1004,spd,70,0.0,1.0
1004250,1004,spd,20,0.0,1.0
1004251,1004,spd,30,0.0,1.0
1004252,1004,spd,40,0.0,1.0
1004253,1004,spd,42,0.0,1.0
1004254,1004,spd,44,0.0,1.0
1004255,1004,spd,46,0.0,1.0
1004256,1004,spd,48,0.0,1.0
1004257,1004,spd,50,0.0,1.0
1005001,1005,sklP,1000,0.0,1.0
1005002,1005,sklP,250,0.0,1.0
1005003,1005,sklP,375,0.0,1.0
1005004,1005,sklP,500,0.0,1.0
1005005,1005,sklP,600,0.0,1.0
1005006,1005,sklP,625,0.0,1.0
1005007,1005,sklP,750,0.0,1.0
1005008,1005,sklP,875,0.0,1.0
1005009,1005,sklP,950,0.0,1.0
1005010,1005,sklP,200,99.0,1.0
1005011,1005,sklP,175,99.0,1.0
1005012,1005,sklP,200,99.0,1.0
1005013,1005,sklP,219,99.0,1.0
1005014,1005,sklP,220,99.0,1.0
1005015,1005,sklP,240,99.0,1.0
1005016,1005,sklP,250,99.0,1.0
1005017,1005,sklP,260,99.0,1.0
1005018,1005,sklP,300,99.0,1.0
1005019,1005,sklP,350,99.0,1.0
1005020,1005,sklP,400,99.0,1.0
1005021,1005,sklP,100,99.0,1.0
1005022,1005,sklP,150,99.0,1.0
1005023,1005,sklP,219,2.0,1.0
1005024,1005,sklP,-250,2.0,1.0
1005025,1005,sklP,350,2.0,1.0
1005026,1005,sklP,-350,2.0,1.0
1005027,1005,sklP,110,3.0,1.0
1005028,1005,sklP,120,3.0,1.0
1005029,1005,sklP,150,3.0,1.0
1005030,1005,sklP,-150,3.0,1.0
1005031,1005,sklP,-188,3.0,1.0
1005032,1005,sklP,200,3.0,1.0
1005033,1005,sklP,250,3.0,1.0
1005034,1005,sklP,-250,3.0,1.0
1005035,1005,sklP,300,3.0,1.0
1005036,1005,sklP,350,3.0,1.0
1005037,1005,sklP,400,3.0,1.0
1005038,1005,sklP,60,3.0,1.0
1005039,1005,sklP,70,3.0,1.0
1005040,1005,sklP,125,99.0,1.0
1005041,1005,sklP,300,99.0,1.0
1005042,1005,sklP,500,99.0,1.0
1005043,1005,sklP,10,0.0,1.0
1005044,1005,sklP,1020,0.0,1.0
1005045,1005,sklP,1080,0.0,1.0
1005046,1005,sklP,1080,0.0,1.0
1005047,1005,sklP,1100,0.0,1.0
1005048,1005,sklP,10,99.0,1.0
1005049,1005,sklP,205,99.0,1.0
1005050,1005,sklP,210,99.0,1.0
1005051,1005,sklP,215,99.0,1.0
1005052,1005,sklP,220,99.0,1.0
1005053,1005,sklP,225,99.0,1.0
1005054,1005,sklP,300,99.0,1.0
1005055,1005,sklP,310,99.0,1.0
1005056,1005,sklP,310,99.0,1.0
1005057,1005,sklP,320,99.0,1.0
1005058,1005,sklP,330,99.0,1.0
1005059,1005,sklP,950,0.0,1.0
1005060,1005,sklP,990,0.0,1.0
1005061,1005,sklP,990,0.0,1.0
1005062,1005,sklP,1030,0.0,1.0
1005063,1005,sklP,1050,0.0,1.0
1005064,1005,sklP,70,99.0,1.0
1005065,1005,sklP,70,99.0,1.0
1005066,1005,sklP,70,99.0,1.0
1005067,1005,sklP,70,99.0,1.0
1005068,1005,sklP,300,0.0,1.0
1005069,1005,sklP,500,0.0,1.0
1005070,1005,sklP,700,0.0,1.0
1005071,1005,sklP,10,0.0,1.0
1005072,1005,sklP,20,0.0,1.0
1005073,1005,sklP,30,0.0,1.0
1005074,1005,sklP,40,0.0,1.0
1005075,1005,sklP,50,0.0,1.0
1006001,1006,hit,200,0.0,1.0
1006002,1006,hit,300,0.0,1.0
1006003,1006,hit,400,0.0,1.0
1006004,1006,hit,500,0.0,1.0
1006005,1006,hit,600,0.0,1.0
1006006,1006,hit,700,0.0,1.0
1006007,1006,hit,900,0.0,1.0
1006008,1006,hit,300,2.0,1.0
1006009,1006,hit,500,2.0,1.0
1006010,1006,hit,-280,3.0,0.25
1006011,1006,hit,-400,3.0,0.35
1006012,1006,hit,-400,3.0,1.0
1006013,1006,hit,600,3.0,1.0
1006014,1006,hit,240,0.0,1.0
1006015,1006,hit,360,0.0,1.0
1006016,1006,hit,1000,0.0,1.0
1006017,1006,hit,300,3.0,1.0
1006018,1006,hit,400,3.0,1.0
1006019,1006,hit,500,3.0,1.0
1006020,1006,hit,800,0.0,1.0
1006021,1006,hit,300,0.0,1.0
1006022,1006,hit,2000,0.0,1.0
1006023,1006,hit,-400,0.0,1.0
1006024,1006,hit,-440,3.0,1.0
1006025,1006,hit,200,0.0,1.0
1006026,1006,hit,300,0.0,1.0
1006027,1006,hit,600,0.0,1.0
1006028,1006,hit,400,0.0,1.0
1006029,1006,hit,440,0.0,1.0
1006030,1006,hit,440,0.0,1.0
1006031,1006,hit,450,0.0,1.0
1006032,1006,hit,460,0.0,1.0
1006033,1006,hit,400,0.0,1.0
1006034,1006,hit,600,0.0,1.0
1006035,1006,hit,1000,0.0,1.0
1006036,1006,hit,180,99.0,1.0
1006037,1006,hit,180,99.0,1.0
1006038,1006,hit,180,99.0,1.0
1006039,1006,hit,180,99.0,1.0
1006040,1006,hit,600,3.0,1.0
1006041,1006,hit,40,6.0,1.0
1006042,1006,hit,80,6.0,1.0
1006043,1006,hit,120,6.0,1.0
1006044,1006,hit,160,6.0,1.0
1006045,1006,hit,200,6.0,1.0
1006046,1006,hit,60,4.0,1.0
1006047,1006,hit,120,4.0,1.0
1006048,1006,hit,180,4.0,1.0
1006049,1006,hit,240,4.0,1.0
1006050,1006,hit,300,4.0,1.0
1006051,1006,hit,40,99.0,1.0
1006052,1006,hit,100,99.0,1.0
1006053,1006,hit,-40,2.0,1.0
1006054,1006,hit,-80,2.0,1.0
1006055,1006,hit,-200,2.0,1.0
1006056,1006,hit,-100,2.0,1.0
1006057,1006,hit,-200,2.0,1.0
1006058,1006,hit,-300,2.0,1.0
1007001,1007,miss,200,0.0,1.0
1007002,1007,miss,2000,0.0,1.0
1007003,1007,miss,300,0.0,1.0
1007004,1007,miss,400,0.0,1.0
1007005,1007,miss,500,0.0,1.0
1007006,1007,miss,100,99.0,1.0
1007007,1007,miss,120,99.0,1.0
1007008,1007,miss,-200,2.0,1.0
1007009,1007,miss,300,2.0,1.0
1007010,1007,miss,-300,2.0,1.0
1007011,1007,miss,100,0.0,1.0
1007012,1007,miss,-200,3.0,1.0
1007013,1007,miss,-300,3.0,1.0
1007014,1007,miss,-400,3.0,1.0
1007015,1007,miss,2000,99.0,1.0
1007016,1007,miss,600,0.0,1.0
1007017,1007,miss,700,0.0,1.0
1007018,1007,miss,800,0.0,1.0
1007019,1007,miss,140,99.0,1.0
1007020,1007,miss,200,99.0,1.0
1007021,1007,miss,600,0.0,1.0
1007022,1007,miss,1000,0.0,1.0
1007023,1007,miss,1400,0.0,1.0
1007024,1007,miss,-200,3.0,1.0
1007025,1007,miss,-400,3.0,1.0
1007026,1007,miss,-600,3.0,1.0
1007027,1007,miss,900,0.0,1.0
1007028,1007,miss,1200,0.0,1.0
1007029,1007,miss,400,0.0,1.0
1007030,1007,miss,600,0.0,1.0
1007031,1007,miss,600,0.0,1.0
1007032,1007,miss,-400,0.0,1.0
1007033,1007,miss,-440,3.0,1.0
1007034,1007,miss,220,99.0,1.0
1007035,1007,miss,220,99.0,1.0
1007036,1007,miss,230,99.0,1.0
1007037,1007,miss,230,99.0,1.0
1007038,1007,miss,240,99.0,1.0
1007039,1007,miss,740,0.0,1.0
1007040,1007,miss,740,0.0,1.0
1007041,1007,miss,750,0.0,1.0
1007042,1007,miss,750,0.0,1.0
1007043,1007,miss,760,0.0,1.0
1007044,1007,miss,400,3.0,1.0
1007045,1007,miss,500,3.0,1.0
1007046,1007,miss,120,99.0,1.0
1007047,1007,miss,120,99.0,1.0
1007048,1007,miss,120,99.0,1.0
1007049,1007,miss,120,99.0,1.0
1007050,1007,miss,600,3.0,1.0
1007051,1007,miss,-40,2.0,1.0
1007052,1007,miss,-80,2.0,1.0
1007053,1007,miss,-120,2.0,1.0
1007054,1007,miss,-160,2.0,1.0
1007055,1007,miss,-200,2.0,1.0
1007056,1007,miss,1000,1.0,1.0
1007057,1007,miss,1000,1.0,1.0
1007058,1007,miss,2000,1.0,1.0
1007059,1007,miss,3000,1.0,1.0
1007060,1007,miss,4000,1.0,1.0
