id,weight,awards,group,image,is_flip,animation
1,5000,20#8,1,activity_2love_progress_card_open1,,texiao01
2,5000,36#25,2,activity_2love_progress_card_open1,1,texiao04
3,5000,4101067#1,3,activity_2love_progress_card_open1,,texiao01
4,5000,4102056#1,4,activity_2love_progress_card_open1,1,texiao04
5,5000,358#20,5,activity_2love_progress_card_open1,,texiao01
6,8000,418#15,6,activity_2love_progress_card_open2,1,texiao06
7,9000,6431#1,7,activity_2love_progress_card_open2,,texiao03
8,10000,5100020#1,8,activity_2love_progress_card_open3,,texiao02
9,2500,20#8,1,activity_2love_progress_card_open1,1,texiao04
10,1500,36#25,2,activity_2love_progress_card_open1,,texiao01
11,1500,4101067#1,3,activity_2love_progress_card_open1,1,texiao04
12,400,4102056#1,4,activity_2love_progress_card_open1,,texiao01
13,300,358#20,5,activity_2love_progress_card_open1,1,texiao04
14,500,418#15,6,activity_2love_progress_card_open2,,texiao03
15,100,6431#1,7,activity_2love_progress_card_open2,1,texiao06
16,10,5100020#1,8,activity_2love_progress_card_open3,1,texiao05
