id,type,weight,awards,num
1,1,100,424#1,80
2,1,100,423#2,60
3,1,100,25#5,30
4,1,100,34#15,30
5,1,100,199#1000,20
6,1,100,198#5000,20
7,1,100,216#200,15
8,1,100,27#400,15
9,1,100,26#1800,15
10,1,100,4#5000,15
11,1,100,29#2,50
12,1,100,14#1500,50
13,1,100,10#1500,50
14,1,100,1#1500000,99
15,1,100,9#1500000,99
16,2,300,4101010#1,1
17,2,300,6701#1,1
18,2,400,940041#50,2
19,2,400,940042#50,2
20,2,400,940043#50,2
21,2,400,940044#50,2
22,2,350,358#50,2
23,2,350,259#50,2
24,2,500,170#25,8
25,2,500,359#5000,4
26,2,500,360#30000,4
27,2,350,930234#50,3
28,2,350,930235#50,3
29,2,450,6000#2000,3
30,2,500,36#50,2
31,2,450,20#15,2
32,2,500,35#125,4
33,2,550,4501002#1,3
