id,awards,cost,limit,type,line,condition_id
1,4101067#1,363#50,1,1,1,
2,4101008#1,363#100,1,1,1,1
3,6773#1|6000#3000,363#200,1,1,1,2
4,424#10,363#50,1,1,2,
5,4104023#1|4102008#1,363#100,1,1,2,4
6,6785#1|6000#3000,363#200,1,1,2,5
7,4101008#1,363#100,1,1,3,
8,45#1,363#125,1,1,3,7
9,4101010#1,363#150,1,1,3,8
10,6779#1|6000#3000,363#250,1,1,3,9
11,986001#15,363#100,1,1,4,
12,4101010#1,363#150,1,1,4,11
13,4402015#1|6000#6000,363#200,1,1,4,12
14,940059#100,363#350,1,1,4,13
15,358#200|4206001#200|5100020#1|4901001#3,363#500,1,2,,
16,6779#1,363#400,1,3,,
17,4402015#1,363#300,1,3,,
18,4901001#1,363#200,1,3,,
19,4201042#1,363#10,99,3,,
20,4206001#1,363#10,99,3,,
21,435#1,363#10,99,3,,
