id,award,type,weight,is_big,is_show
1,325#100,1,1100,,
2,326#1,1,780,,
3,325#200,1,900,,
4,326#2,1,580,,
5,325#300,1,700,,
6,326#3,1,480,,
7,325#400,1,500,,
8,326#4,1,380,,
9,325#500,1,300,,
10,326#5,1,180,,
11,982001#1,1,1300,,1
12,983001#1,1,1300,,1
13,984001#1,1,300,,1
14,984002#1,1,300,,1
15,984003#1,1,300,,1
16,984004#1,1,300,,1
17,985001#1,1,100,,1
18,985002#1,1,100,,1
19,985003#1,1,100,,1
20,325#100,2,900,,
21,326#1,2,550,,
22,325#200,2,700,,
23,326#2,2,400,,
24,325#300,2,500,,
25,326#3,2,300,,
26,325#400,2,300,,
27,326#4,2,200,,
28,325#500,2,100,,
29,326#5,2,50,,
30,982001#1,2,900,,1
31,983001#1,2,900,,1
32,984001#1,2,750,,1
33,984002#1,2,750,,1
34,984003#1,2,750,,1
35,984004#1,2,750,,1
36,985001#1,2,300,,1
37,985002#1,2,300,,1
38,985003#1,2,300,,1
39,986001#1,2,300,1,1
