id,award0,award1,award2,award3,num,cost,limit,requirement
1,36#1,1#500000|20@9#500000|20@14#375|20@10#375|20,,,1,194#5,20,0
2,20#1,287#20|1@260#50|1@261#5|1,,,1,194#20,1,0
3,358#1,36#10|1@20#3|1@424#3|1,1#5000000|1@9#5000000|1@14#4000|1@10#4000|1@26#4000|1@27#800|1@216#500|1,,2,194#40,1,0
4,36#5,1#10000000|3@9#10000000|3@14#8000|3@10#8000|3,,,1,194#60,3,20
5,374#20,198#15000|2@199#3000|2@74#128|1@940004#50|2,325#7500|1@326#125|1@424#3|1@4#3000|1,,2,194#100,2,80
6,358#5,360#45000|2@359#4500|2@74#168|1@940005#50|1@940006#50|1,419#40|1@417#2000|1@424#5|1@426#2000|1,,2,194#150,2,100
7,4101008#1,930218#50|1@930216#50|1@930209#50|1@930202#50|1@930200#50|1@930222#50|1@930215#50|1@930208#50|1@930204#50|1@930199#50|1@930217#50|1@930212#50|1@930210#50|1@930201#50|1@930198#50|1@930219#50|1@930211#50|1@930207#50|1@930203#50|1@930193#50|1,,,1,194#250,2,200
8,940046#50,930214#50|1@930205#50|1@930197#50|1@930195#50|1@930187#50|1@930213#50|1@930206#50|1@930194#50|1@930188#50|1@930181#50|1,,,1,194#300,2,300
9,358#15,930223#50|2@930224#50|2,940005#50|2@940006#50|2@93#1|2@418#5|2,,2,194#350,2,350
10,4705002#10,149#1|1@150#1|1@151#1|1@152#1|1@153#1|1,,,1,194#350,1,400
11,4901001#1,6431#1|1@6437#1|1@6443#1|1@6449#1|1@6455#1|1@6461#1|1@6473#1|1@6485#1|1@6497#1|1@6701#1|1@6707#1|1@6713#1|1@6719#1|1@6725#1|1@6731#1|1@6737#1|1@6743#1|1@6749#1|1@6755#1|1@6761#1|1@6767#1|1,,,1,194#400,1,500
12,6773#1,73#40|1@170#60|1@6000#3000|1@4#20000|1,418#20|1@358#20|1@424#25|1,,2,194#400,2,600
