id,round,awards,num,weight,is_last
1,,1#500000,40,60,
2,,9#500000,40,60,
3,,26#200,40,60,
4,,216#10,40,60,
5,,198#500,40,60,
6,,199#100,40,60,
7,1,7159#1|36#10|35#50,1,40,
8,1,930114#50|940002#50|20#5,1,40,
9,1,4101044#1,1,40,
10,2,7162#1|74#100|93#1,1,40,
11,2,7158#1|74#100|93#1,1,40,
12,2,4102033#1,1,40,
13,3,930216#50|930217#50|4703001#10,1,40,
14,3,4403001#1|325#6000|326#100,1,40,
15,3,4501002#1,1,40,
16,4,4102007#1|325#12000|326#200,1,40,
17,4,4102008#1|4704001#15|4705001#10,1,40,
18,4,4101008#1,1,40,
19,5,4201022#10,1,40,1
20,5,4204012#10,1,40,1
21,5,4205007#10,1,40,1
