id,point,awards
1,10,4201042#2|2#888
2,50,36#20|20#5
3,100,940006#50|940005#50
4,150,4101067#1|4102055#1
5,200,4501002#1|930235#50
6,250,4104022#1|4206001#20
7,300,4402015#1|6000#3000
8,330,358#25|4206001#40
9,360,418#50|419#1000
10,390,4901001#1|417#6000
11,420,986001#20|374#100
12,450,6779#1|6000#3000
13,500,4705002#50|4201042#100
14,550,358#50|4101010#1
15,600,4901001#2|420#5
16,650,6779#1|6000#6000
17,700,4901001#3|418#100
18,800,940059#100|4206001#180
19,900,6779#1|4402015#1
20,1000,5100020#1|418#200
