id,level,win_time,style,awards,score,box_partner,box_partner_elite,box_equip,box_buff,chance_hard,chance_reach
1,0,0,1,36#1|1#200000,1,1001,1005,,,1,1
2,1,1,1,36#1|1#300000,3,1002,,1,,0.95,0.94
3,2,2,2,36#2|1#400000,5,1002,,,1,0.9,0.865
4,3,3,2,36#3|1#500000,8,1002,,2,,0.83,0.761
5,4,4,2,36#4|1#600000,11,1003,,,2,0.68,0.625
6,5,5,2,36#5|1#700000,15,1003,,2,,0.68,0.425
7,6,6,3,36#6|1#800000,20,1003,,,3,0.64,0.289
8,7,7,3,36#7|1#900000,26,1003,,3,,0.6,0.185
9,8,8,3,20#1|36#8|1#1000000,33,1004,,,4,0.45,0.11
10,9,9,4,20#1|36#10|1#1200000,41,1004,,3,,0.3,0.05
11,10,10,4,358#1|36#12|1#1500000,50,,,,,,0.015
