id,award,cost,limit,shop_rank
1,20#3,317#6,4,1
2,36#10,317#6,4,1
3,10#2500,317#3,99,1
4,14#2500,317#3,99,1
5,9#1000000,317#1,99,1
6,1#1000000,317#1,99,1
7,4102007#1,317#45,1,2
8,4101067#1,317#30,1,2
9,73#10,317#12,2,2
10,170#10,317#10,2,2
11,6000#100,317#4,20,2
12,216#100,317#4,10,2
13,4102046#1,317#45,1,3
14,4201042#5,317#10,5,3
15,359#1000,317#5,10,3
16,360#10000,317#5,10,3
17,199#1000,317#5,10,3
18,198#10000,317#5,10,3
19,4101010#1,317#200,2,4
20,6785#1,317#120,2,4
21,4101008#1,317#100,2,4
22,4402013#1,317#100,2,4
23,930234#50,317#80,1,4
24,986001#10,317#80,2,4
25,4501002#1,317#60,2,4
26,358#10,317#40,5,4
27,4102008#1,317#40,2,4
