id,awards,cost,limit,type,is_new
1,4402015#1|6000#3000,214#300|213#800,2,1,
2,930234#50|4102008#1,214#200|213#600,2,1,
3,4501002#1,212#1200,1,1,
4,4101008#1,212#900,4,1,
5,4102055#1,214#150|213#100,2,1,
6,986001#1|326#50,214#5|213#100|212#100,10,1,
7,4101067#1,212#750,1,1,
8,4201042#1,212#50,20,1,
9,424#1,212#40,20,1,
10,423#1,212#30,20,1,
11,418#1,214#3,999,1,
12,435#1,213#100,999,1,
13,417#10,213#1|212#1,999,1,
14,212#200|358#3,2#1500,2,2,
15,213#300|35#50,2#2500,2,2,
16,214#40|930216#50,2#3500,1,2,
