id,award_self,group_1,group_2,group_3,group_4,group_5,group_6,cost,bento_ratio,bento_num,exp,gold_grade,gold_crystal,crystal
1,1,0,0,0,0,0,0,0,1,,1,1,1,1
2,1,0,0,0,0,0,0,0,1,,1,1,1,1
3,1,0,0,0,0,0,0,0,1,,1,1,1,1
4,1,0,0,0,0,0,0,0,1,,1,1,1,1
5,1,0,0,0,0,0,0,0,1,,1,1,1,1
7,2,561001#8,562001#8,563001#8,564001#8,565001#8,566001#8,0,,10#600,1,1,1,1
8,2,561001#11|661001#1@0,562001#11|662001#1@0,563001#11|663001#1@0,564001#11|664001#1@0,565001#11|665001#1@0,566001#11|666001#1@0,0,,10#2600,1,1,1,1
9,3,561001#13|661001#2@0,562001#13|662001#2@0,563001#13|663001#2@0,564001#13|664001#2@0,565001#13|665001#2@0,566001#13|666001#2@0,0,,10#6600,1,1,1,1
10,5,661001#1@3|661001#3@0|561001#13,662001#1@3|662001#3@0|562001#13,663001#1@3|663001#3@0|563001#13,664001#1@3|664001#3@0|564001#13,665001#1@3|665001#3@0|565001#13,666001#1@3|666001#3@0|566001#13,0,,10#16600,1,1,1,1
11,6,661001#2@3|661001#3@0|561001#13,662001#2@3|662001#3@0|562001#13,663001#2@3|663001#3@0|563001#13,664001#2@3|664001#3@0|564001#13,665001#2@3|665001#3@0|565001#13,666001#2@3|666001#3@0|566001#13,0,,10#26600,1,1,1,1
12,7,661001#3@3|661001#3@0|561001#13,662001#3@3|662001#3@0|562001#13,663001#3@3|663001#3@0|563001#13,664001#3@3|664001#3@0|564001#13,665001#3@3|665001#3@0|565001#13,666001#3@3|666001#3@0|566001#13,0,,10#36600,1,1,1,1
13,7,761001#1|661001#3@3|661001#3@0|561001#13,762001#1|662001#3@3|662001#3@0|562001#13,763001#1|663001#3@3|663001#3@0|563001#13,764001#1|664001#3@3|664001#3@0|564001#13,765001#1|665001#3@3|665001#3@0|565001#13,766001#1|666001#3@3|666001#3@0|566001#13,0,,10#51600,1,1,1,1
14,8,761001#2|661001#3@3|661001#3@0|561001#13,762001#2|662001#3@3|662001#3@0|562001#13,763001#2|663001#3@3|663001#3@0|563001#13,764001#2|664001#3@3|664001#3@0|564001#13,765001#2|665001#3@3|665001#3@0|565001#13,766001#2|666001#3@3|666001#3@0|566001#13,0,,10#66600,1,1,1,1
15,9,761001#3|661001#3@3|661001#3@0|561001#13,762001#3|662001#3@3|662001#3@0|562001#13,763001#3|663001#3@3|663001#3@0|563001#13,764001#3|664001#3@3|664001#3@0|564001#13,765001#3|665001#3@3|665001#3@0|565001#13,766001#3|666001#3@3|666001#3@0|566001#13,0,,10#86600,1,1,1,1
