id,limit,awards,cost,type,num
1,2,5100021#1,395#30000,1,0
2,2,4501002#1,395#10000,1,0
3,2,4101008#1,395#8000,1,0
4,2,4101010#1,395#12000,1,0
5,2,4402015#1,395#24000,1,0
6,3,420#1,395#7500,1,0
7,5,360#50000,395#5000,1,0
8,5,359#5000,395#5000,1,0
9,1,930235#50,395#10000,1,0
10,1,930234#50,395#8000,1,0
11,1,930233#50,395#6000,1,0
12,1,930232#50,395#6000,1,0
13,1,930223#50,395#4000,1,0
14,1,930224#50,395#4000,1,0
15,5,418#5,395#5000,1,0
16,10,6000#1000,395#2500,1,0
17,20,417#600,395#500,1,0
18,20,419#15,395#500,1,0
19,5,14#5000,395#1000,1,0
20,5,10#5000,395#1000,1,0
21,9999,1#5000,395#1,1,0
22,9999,9#5000,395#1,1,0
