id,point,free_award,sp_free_award,paid_award,sp_paid_award,light_show
1,20,36#2|2#200,,2#600,930218#50&930208#50&930210#50&930211#50,2
2,40,36#2|1#5000000,,2#600,940011#50&940012#50&940013#50&940014#50,
3,80,36#2,940011#25&940012#25&940013#25&940014#25,2#600,940011#50&940012#50&940013#50&940014#50,
4,120,36#2|9#5000000,,2#600,940011#50&940012#50&940013#50&940014#50,
5,160,36#2,940011#25&940012#25&940013#25&940014#25,2#600,940011#50&940012#50&940013#50&940014#50,
6,200,36#2|10#4000,,2#600,930218#50&930208#50&930210#50&930211#50,2
7,250,36#2,940011#25&940012#25&940013#25&940014#25,2#600,940011#50&940012#50&940013#50&940014#50,
8,350,36#2|14#4000,,2#600,940031#50&940032#50&940033#50&940034#50,2
9,450,36#4,940011#25&940012#25&940013#25&940014#25,2#600,940011#50&940012#50&940013#50&940014#50,
10,550,36#4|242#1,,2#600,940031#50&940032#50&940033#50&940034#50,2
11,650,36#4,940011#50&940012#50&940013#50&940014#50,2#600,940011#100&940012#100&940013#100&940014#100,
12,750,36#4|4205010#10,,2#600|4302042#1,,2
13,850,36#4,940011#50&940012#50&940013#50&940014#50,2#600,940011#100&940012#100&940013#100&940014#100,
14,950,36#4|940004#50,,73#30|4501002#1,930218#50&930208#50&930210#50&930211#50,2|3
