id,awards,complete_value
1,20#5|36#10,431#10
2,20#10|36#20,431#20
3,20#15|36#30,431#30
4,4101067#1|4201042#10,431#40
5,4102056#1|73#50,431#50
6,930235#50|170#50,431#60
7,4102008#1|359#2000,432#10
8,4501002#1|359#3000,432#20
9,358#30|4206001#30,432#30
10,424#30|417#3000,432#40
11,6497#1|6000#3000,432#60
12,4101010#1|4201042#50,432#80
13,4901001#1|418#50,432#120
14,986001#10|4705002#10,433#2
15,4104023#1|4201042#25,433#4
16,4901001#1|419#100,433#10
17,4402015#1|6000#3000,433#15
18,4101010#1|4201042#75,433#20
19,6779#1|6000#3000,433#25
20,418#100|420#5,433#30
21,940059#40|4206001#100,433#35
22,940059#60|4206001#150,433#40
