id,award,type,level,limit
1,2#20,0,1,1
2,2#20,0,1,1
3,2#20,0,1,1
4,2#300,0,1,1
5,36#1,0,1,1
6,20#1,0,1,1
7,35#1,0,1,1
8,35#1,0,1,1
9,35#1,0,1,1
10,333#1,0,1,1
11,423#1,0,1,1
12,976001#1,0,1,1
13,359#20,0,1,1
14,359#20,0,1,1
15,359#20,0,1,1
16,419#1,0,1,1
17,419#1,0,1,1
18,419#1,0,1,1
19,417#20,0,1,1
20,417#20,0,1,1
21,417#20,0,1,1
22,216#10,0,1,1
23,216#10,0,1,1
24,34#5,0,1,1
25,986001#25,1,21,1
26,6785#1,1,18,1
27,358#50,1,16,1
28,4101010#1,1,14,1
29,420#1,1,14,1
30,4402013#1,1,14,1
31,986001#10,1,12,1
32,418#50,1,11,1
33,4101008#1,1,11,1
34,6785#1,1,10,1
35,4705002#20,1,9,1
36,358#30,1,9,1
37,424#30,1,9,1
38,4901001#1,1,8,2
39,4402013#1,1,8,1
40,4102008#1,1,7,4
41,930234#50,1,7,2
42,6497#1,1,7,1
43,4501002#1,1,7,1
44,419#30,1,6,1
45,418#10,1,6,2
46,451#1,1,6,1
47,4102007#1,1,6,4
48,332#50,1,6,1
49,930233#50,1,6,1
50,930232#50,1,6,1
51,435#3,1,5,1
52,930223#50,1,5,1
53,930224#50,1,5,1
54,358#10,1,4,1
55,930214#50,1,4,1
56,930213#50,1,4,1
57,170#25,1,4,4
58,424#10,1,3,2
59,930218#50,1,3,2
60,930216#50,1,3,2
61,4201042#10,1,3,10
62,4206001#20,1,2,3
63,198#10000,1,2,2
64,199#3000,1,2,2
65,228#1,1,2,2
66,20#10,1,2,2
67,36#30,1,1,2
68,35#150,1,1,3
69,940016#50,1,1,2
70,940015#50,1,1,2
71,73#15,1,1,10
72,940004#50,1,1,20
73,229#1,1,1,99
74,211#1,1,1,99
