id,name,avatar_png,picture_png,picture,awards
1,-1,partner_avatar_5401403,jigsaw_weila_swim,5|1|8|3|2|9|6|4|7,6000#200|1#1000000
2,-1,partner_avatar_5600605,jigsaw_luxifeier_swim,4|3|6|2|8|9|5|7|1,6000#200|9#1000000
3,-1,partner_avatar_5301303,jigsaw_wangyi_swim,5|3|2|9|7|1|4|6|8,6000#200|10#1500
4,-1,partner_avatar_5201503,jigsaw_yunmu_swim,8|3|4|1|9|2|6|7|5,6000#200|14#1500
5,-1,partner_avatar_5101503,jigsaw_anyue_swim,8|5|9|3|6|4|2|1|7,258#3|1#1000000
6,-1,partner_avatar_5500904,jigsaw_apate_swim,2|8|1|6|9|4|3|5|7,258#3|9#1000000
7,-1,partner_avatar_5600802,jigsaw_houyi_swim,8|4|6|5|3|2|1|9|7,258#3|10#1500
8,-1,partner_avatar_5501002,jigsaw_feisina_swim,6|4|8|1|3|9|5|2|7,258#3|14#1500
9,-1,partner_avatar_5301503,jigsaw_pipiluo_swim,8|3|1|6|2|9|5|4|7,260#150|1#1000000
10,-1,partner_avatar_5200903,jigsaw_guanyu_swim,8|5|2|6|3|9|4|7|1,260#150|9#1000000
11,-1,partner_avatar_5300902,jigsaw_yidazhengzong_swim,2|4|9|8|1|5|6|3|7,260#150|10#1500
12,-1,partner_avatar_5500605,jigsaw_shuangzi_swim,3|5|6|2|8|4|1|9|7,260#150|14#1500
13,-1,partner_avatar_5500703,jigsaw_lvbu_swim,2|1|9|6|7|8|3|4|5,6000#200|1#1000000
14,-1,partner_avatar_5101104,jigsaw_banila_swim,3|5|2|7|8|9|1|6|4,6000#200|9#1000000
15,-1,partner_avatar_5201204,jigsaw_yinyue_swim,5|4|6|9|7|2|8|1|3,6000#200|10#1500
16,-1,partner_avatar_5201103,jigsaw_luxun_swim,9|5|7|8|3|1|2|6|4,6000#200|14#1500
17,-1,partner_avatar_5300704,jigsaw_tuling_swim,2|4|1|5|8|7|3|9|6,261#20|1#1000000
18,-1,partner_avatar_5500506,jigsaw_luxifa_swim,9|1|5|8|2|7|6|3|4,261#20|9#1000000
19,-1,partner_avatar_5600404,jigsaw_pangtong_swim,9|5|8|2|4|1|3|6|7,261#20|10#1500
20,-1,partner_avatar_5600305,jigsaw_mijiale_swim,9|4|7|1|8|3|6|2|5,261#20|14#1500
21,-1,partner_avatar_5100205,jigsaw_zhanghe_swim,6|9|2|8|4|7|1|5|3,259#2|1#1000000
22,-1,partner_avatar_5200302,jigsaw_xiahoudun_swim,2|4|9|8|3|5|6|1|7,259#2|9#1000000
23,-1,partner_avatar_5100603,jigsaw_dengai_swim,6|7|9|2|3|8|4|1|5,259#2|10#1500
24,-1,jigsaw_avatar_fangtian_swim,jigsaw_fangtian_swim,4|1|7|3|9|2|6|5|8,259#2|14#1500
