id,awards,point,area
1,1#1000000|257#5,50,1
2,1#4000000|257#5,100,1
3,14#10000|257#10,200,1
4,4201042#5|257#10,300,1
5,36#10|257#10,400,1
6,4705002#10|257#10,500,1
7,418#5|257#15,650,1
8,6000#5000|257#15,800,1
9,9#1000000|257#5,50,2
10,9#4000000|257#5,100,2
11,10#10000|257#10,200,2
12,4201042#5|257#10,300,2
13,36#10|257#10,400,2
14,374#50|257#10,500,2
15,417#3000|257#15,650,2
16,4501002#1|257#15,800,2
17,216#200|257#5,50,3
18,216#800|257#5,100,3
19,6000#1000|257#10,200,3
20,4201042#5|257#10,300,3
21,36#10|257#10,400,3
22,334#30|257#10,500,3
23,419#80|257#15,650,3
24,4102055#1|257#15,800,3
