id,award,weight,type,is_big_award,level,unlock
1,1#5000000,200,1,0,,
2,4201042#1,200,1,0,,
3,14#5000,200,1,0,,
4,36#3,200,1,0,,
5,4201042#30,90,1,1,,
6,29#2,200,1,0,,
7,10#5000,200,1,0,,
8,435#1,200,1,0,,
9,9#5000000,200,1,0,,
10,36#30,200,2,0,1,
11,20#10,200,2,0,1,
12,4101067#1,600,2,0,1,
13,940005#100,200,2,0,1,
14,940006#100,200,2,0,1,
15,424#15,200,2,0,2,2
16,4201042#10,200,2,0,2,2
17,4102055#1,600,2,0,2,2
18,334#30,200,2,0,2,2
19,4206001#30,200,2,0,2,2
20,4102008#1,200,2,0,3,4
21,4102007#2,200,2,0,3,4
22,4501002#1,200,2,0,3,4
23,417#6000,200,2,0,3,4
24,6000#3000,200,2,0,3,4
25,930234#50,200,2,0,4,7
26,418#30,200,2,0,4,7
27,4402015#1,200,2,0,4,7
28,4901001#1,200,2,0,4,7
29,4101008#1,200,2,0,4,7
30,358#30,200,2,0,5,9
31,930235#50,200,2,0,5,9
32,4402015#1,66,2,0,5,9
33,4501002#1,200,2,0,5,9
34,986001#15,200,2,0,5,9
35,358#30,200,2,0,6,11
36,4101010#1,200,2,0,6,11
37,6779#1,66,2,0,6,11
38,420#2,200,2,0,6,11
39,4201042#30,200,2,0,6,11
