id,point,free_award,sp_free_award,paid_award,sp_paid_award,light_show
1,5,36#2,940053#25&940054#25&940055#25&940056#25&940057#25&940058#25,2#400,930216#50&930208#50&930210#50&930211#50&930214#50&930188#50,
2,10,36#2|2#200,,2#400,940053#50&940054#50&940055#50&940056#50&940057#50&940058#50,
3,16,36#2,940053#25&940054#25&940055#25&940056#25&940057#25&940058#25,2#400,930216#50&930208#50&930210#50&930211#50&930214#50&930188#50,
4,24,36#2|1#5000000,,2#400,940053#50&940054#50&940055#50&940056#50&940057#50&940058#50,
5,32,36#2,940053#25&940054#25&940055#25&940056#25&940057#25&940058#25,2#400,940053#50&940054#50&940055#50&940056#50&940057#50&940058#50,
6,40,36#2|9#5000000,,2#400,930216#50|940031#50&930208#50|940032#50&930210#50|940033#50&930211#50|940034#50&930214#50|940035#50&930188#50|940036#50,
7,50,36#2,940053#25&940054#25&940055#25&940056#25&940057#25&940058#25,2#400,940053#100&940054#100&940055#100&940056#100&940057#100&940058#100,
8,60,36#2|14#4000,,2#400,940031#50&940032#50&940033#50&940034#50&940035#50&940036#50,
9,70,36#2,940053#50&940054#50&940055#50&940056#50&940057#25&940058#25,2#400,940053#100&940054#100&940055#100&940056#100&940057#100&940058#100,
10,80,36#2|10#4000,,2#400,930216#50|940031#50&930208#50|940032#50&930210#50|940033#50&930211#50|940034#50&930214#50|940035#50&930188#50|940036#50,
11,90,36#2,940053#50&940054#50&940055#50&940056#50&940057#25&940058#25,2#400,940053#100&940054#100&940055#100&940056#100&940057#100&940058#100,
12,100,36#2,940004#50&940004#50&940004#50&940004#50&940004#50&940004#50,2#400,930216#50|940041#50&930208#50|940042#50&930210#50|940043#50&930211#50|940044#50&930214#50|940057#250&930188#50|940058#250,
