id,awards,cost,limit,unlock
1,1#1000000,411#50,999,0
2,9#1000000,411#50,999,0
3,6000#400,411#200,5,0
4,36#10,411#500,5,0
5,940004#50,411#300,5,0
6,93#1,411#600,1,0
7,4101067#1,411#1200,1,2500
8,4102007#1,411#1200,1,2500
9,36#30,411#1500,1,2500
10,4205004#6,411#500,10,2500
11,4206001#6,411#500,10,2500
12,4102008#1,411#1500,1,2500
13,930233#50,411#1500,1,5000
14,930234#50,411#1500,1,5000
15,930235#50,411#2000,1,5000
16,6431#1,411#3500,1,5000
17,4101008#1,411#2500,1,5000
18,4705002#10,411#1500,2,5000
19,4402015#1,411#4000,1,7500
20,4501002#1,411#2000,1,7500
21,6779#1,411#4500,1,7500
22,358#20,411#1000,2,7500
23,4206001#12,411#500,10,7500
24,4101010#1,411#2500,1,7500
25,4402015#1,411#4000,1,12500
26,6779#1,411#4500,1,12500
27,940059#25,411#1500,4,12500
28,418#30,411#2000,2,12500
29,6000#5000,411#1000,2,12500
30,4901001#1,411#2000,2,20000
31,986001#15,411#2000,2,20000
32,358#20,411#1000,10,20000
33,6779#1,411#4500,2,20000
34,334#10,411#500,10,20000
