id,point,awards,is_new
1,250,4201042#2|20#2|36#5,
2,500,4201042#3|940004#50|170#10,
3,1250,4201042#5|4101067#1|424#10,
4,2500,4201042#8|4102055#1|4101008#1,
5,5000,4201042#12|4501002#1|930234#50,
6,10000,4201042#25|358#20|418#60,
7,15000,4201042#40|4402013#1|6000#5000,
8,20000,4201042#60|986001#10|4206001#50,
9,30000,4201042#60|6785#1|6000#10000,
10,50000,4201042#80|4901001#5|420#5,
11,60000,4201042#100|4402013#1|6785#1,
12,80000,4201042#120|940059#100|4206001#200,
13,100000,4201042#150|940059#100|4402013#2,
