id,desc,awards,cost,limit,condition,type
1,-1,7291#1,391#100,2,,1
2,-1,7285#1,391#100,2,,1
3,-1,7289#1,391#100,2,,1
4,-1,7288#1,391#100,2,,1
5,-1,7290#1,391#100,2,,1
6,-1,7286#1,391#100,2,,1
7,-1,7194#1,391#100,2,,2
8,-1,7182#1,391#100,2,,2
9,-1,7196#1,391#100,2,,2
10,-1,7188#1,391#100,2,,2
11,-1,7197#1,391#100,2,,2
12,-1,7198#1,391#100,2,,2
13,-1,7189#1,391#75,2,,2
14,-1,7187#1,391#75,2,,2
15,-1,7109#1,391#100,2,,2
16,-1,7115#1,391#100,2,,2
17,-1,7110#1,391#100,2,,2
18,-1,7111#1,391#100,2,,2
19,-1,7118#1,391#100,2,,2
20,-1,7116#1,391#100,2,,2
21,-1,7112#1,391#100,2,,2
22,-1,7099#1,391#100,2,,2
23,-1,7113#1,391#100,2,,2
24,-1,7114#1,391#75,2,,2
25,-1,7108#1,391#75,2,,2
26,-1,7034#1,391#100,2,,2
27,-1,7038#1,391#100,2,,2
28,-1,7041#1,391#100,2,,2
29,-1,7043#1,391#100,2,,2
30,-1,7033#1,391#100,2,,2
31,-1,7047#1,391#75,2,,2
32,-1,36#10,391#30,5,5,3
33,-1,20#5,391#60,5,5,3
34,-1,29#10,391#60,5,5,3
35,-1,358#1,391#20,5,5,3
36,-1,4101047#1,391#140,1,10,3
37,-1,4102033#1,391#220,1,10,3
38,-1,4101008#1,391#200,1,10,3
39,-1,4206001#1,391#50,10,10,3
40,-1,4501002#1,391#360,1,15,3
41,-1,930224#50,391#220,1,15,3
42,-1,930223#50,391#220,1,15,3
43,-1,4206001#1,391#5,20,15,3
44,-1,6767#1,391#800,1,20,3
45,-1,4402011#1,391#800,1,20,3
46,-1,4101010#1,391#500,1,20,3
47,-1,4206001#1,391#5,30,20,3
