id,award,step,average,weight,light
1,4201042#10,-1,16,0.01,
2,36#30,-1,,,
3,258#30,-1,16,0.01,
4,93#10,-1,,,
5,20#20,-1,16,0.01,1
6,4201042#30,-1,,,
7,36#50,-1,16,0.01,
8,258#50,-1,,,
9,4101010#1,-1,16,0.01,
10,4101067#1,-1,,,1
11,4201042#50,-1,16,0.01,
12,36#80,-1,,,
13,258#80,-1,16,0.01,
14,2#10000,-1,,,
15,4102057#1,-1,16,0.01,1
16,4201042#80,-1,,,
17,36#100,-1,16,0.01,
18,258#100,-1,,,
19,2#15000,-1,16,0.01,
20,6749#1,-1,,,1
21,358#50,-1,16,0.01,
22,424#100,-1,,,
23,418#100,-1,16,0.01,
24,4901001#1,-1,,,1
25,358#50,-1,16,0.01,
26,424#100,-1,,,
27,418#100,-1,16,0.01,
28,4402015#1,-1,,,1
29,358#100,-1,16,0.01,
30,940059#100,-1,,,
31,418#150,-1,16,0.01,
32,4402015#1,-1,,,1
33,418#150,-1,16,0.01,
34,940059#100,-1,,,
35,418#150,-1,16,0.01,
36,6779#1,-1,,,1
37,418#150,-1,16,0.01,
38,5100020#1,-1,,,
39,418#150,-1,16,0.01,
40,5100020#1,-1,,,1
41,418#150,-1,16,0.01,
42,5100021#1,-1,,,
43,418#150,-1,16,0.01,
44,5100021#1,-1,,,1
45,418#150,-1,16,0.01,
46,418#150,-1,,,
47,418#150,-1,16,0.01,
48,6791#1,-1,,,1
49,418#150,-1,16,0.01,
50,418#150,-1,,,
51,418#150,-1,16,0.01,
52,4402015#2,-1,,,1
53,418#200,-1,16,0.01,
54,418#200,-1,,,
55,418#200,-1,16,0.01,
56,6791#1,-1,,,1
57,418#200,-1,16,0.01,
58,418#200,-1,,,
59,418#200,-1,16,0.01,
60,4201042#500,-1,,,1
61,259#50,-1,16,0.01,
62,4901001#1,-1,,,
63,448#1,-1,16,0.01,
64,170#150,-1,,,
65,259#50,-1,16,0.01,
66,4901001#1,-1,,,
67,448#1,-1,16,0.01,
68,170#150,-1,,,
69,259#50,-1,16,0.01,
70,4901001#1,-1,,,
71,448#1,-1,16,0.01,
72,170#150,-1,,,
73,259#50,-1,16,0.01,
74,4901001#1,-1,,,
75,448#1,-1,16,0.01,
76,170#150,-1,,,
77,259#50,-1,16,0.01,
78,4901001#1,-1,,,
79,448#1,-1,16,0.01,
80,170#150,-1,,,
81,259#50,-1,16,0.01,
82,4901001#1,-1,,,
83,448#1,-1,16,0.01,
84,170#150,-1,,,
85,259#50,-1,16,0.01,
86,4901001#1,-1,,,
87,448#1,-1,16,0.01,
88,170#150,-1,,,
89,259#50,-1,16,0.01,
90,4901001#1,-1,,,
91,448#1,-1,16,0.01,
92,170#150,-1,,,
93,259#50,-1,16,0.01,
94,4901001#1,-1,,,
95,448#1,-1,16,0.01,
96,170#150,-1,,,
97,259#50,-1,16,0.01,
98,4901001#1,-1,,,
99,448#1,-1,16,0.01,
100,170#150,-1,,,
