id,cost_total,cost_exp,free_award,paid_award
1,100,327#100,328#10,2#300|36#1
2,200,327#100,328#10|329#5,329#5|36#2
3,300,327#100,328#10,2#300|36#3
4,400,327#100,328#10|329#5,329#5|36#4
5,500,327#100,328#10,2#300|4206001#6
6,600,327#100,328#10|329#10,329#5|36#1
7,700,327#100,328#10,2#300|36#2
8,800,327#100,328#10|329#10,329#10|36#3
9,900,327#100,328#10,2#300|36#4
10,1000,327#100,328#10|329#15,329#10|4206001#12
11,1100,327#100,1#5000000,2#300|36#1
12,1200,327#100,9#5000000,329#10|36#2
13,1300,327#100,10#3000,2#300|36#3
14,1400,327#100,14#3000,329#15|36#4
15,1500,327#100,2#1000,2#300|4206001#18
16,1600,327#100,1#10000000,329#15|36#1
17,1700,327#100,9#10000000,2#300|36#2
18,1800,327#100,10#6000,329#15|36#3
19,1900,327#100,14#6000,2#300|36#4
20,2000,327#100,4901001#1,329#20|4206001#24
