id,name,partner_id,is_newpartner,equips,equip_skill,period
1,-1,755012,0,1469|2469|3469|4469|0|0|0,1,0
2,-1,756011,0,1169|2169|3169|4169|0|0|0,1,0
3,-1,751018,0,1569|2569|3569|4569|0|0|0,1,1
4,-1,751017,0,1369|2369|3369|4369|0|0|0,1,2
5,-1,751014,0,1369|2369|3369|4369|0|0|0,1,0
6,-1,751015,0,1469|2469|3469|4469|0|0|0,1,0
7,-1,751016,0,1269|2269|3269|4269|0|0|0,1,0
8,-1,752020,0,1469|2469|3469|4469|0|0|0,1,2
9,-1,752019,0,1569|2569|3569|4569|0|0|0,1,0
10,-1,752017,0,1569|2569|3569|4569|0|0|0,1,1
11,-1,753019,0,1369|2369|3369|4369|0|0|0,1,0
12,-1,753015,0,1269|2269|3269|4269|0|0|0,1,0
13,-1,753016,0,1569|2569|3569|4569|0|0|0,1,3
14,-1,754018,0,1269|2269|3269|4269|0|0|0,1,0
15,-1,754010,0,1469|2469|3469|4469|0|0|0,1,0
16,-1,754015,0,1269|2269|3269|4269|0|0|0,1,0
17,-1,754016,0,1469|2469|3469|4469|0|0|0,1,3
18,-1,756012,1,1269|2269|3269|4269|0|0|0,1,0
