id,day_limit,label,mission_detail,type,awards,award2,cost,limit,vip_limit
1,1,4,-1,1,1#25000|10#100,1,,1,0
2,1,4,-1,2,116#2|36#3,1,2#200,1,0
3,1,4,-1,4,10#1000|36#5,1,2#400,1,0
4,2,4,-1,1,9#50000|10#100,1,,1,0
5,2,4,-1,2,1#500000|36#3,1,2#200,1,0
6,2,4,-1,5,115#2|14#5000,1,2#600,1,0
7,3,4,-1,1,1#75000|9#100000,1,,1,0
8,3,4,-1,2,115#3|36#3,1,2#200,1,0
9,3,4,-1,6,940002#50|36#6,1,2#600,1,1
10,4,4,-1,1,1#75000|940003#60,1,,1,0
11,4,4,-1,3,35#5|20#1,1,2#300,1,0
12,4,4,-1,6,115#3|20#2,1,2#600,1,1
13,5,4,-1,1,9#100000|2#50,1,,1,0
14,5,4,-1,3,10#1000|25#10,1,2#300,1,0
15,5,4,-1,7,25#20|35#40,1,2#700,1,2
16,6,4,-1,1,1#100000|14#150,1,,1,0
17,6,4,-1,4,20#1|14#3000,1,2#400,1,0
18,6,4,-1,7,115#1|14#10000,1,2#700,1,2
19,7,4,-1,1,9#75000|2#50,1,,1,0
20,7,4,-1,4,940001#60|36#4,1,2#400,1,0
21,7,4,-1,8,20#2|93#1,1,2#1000,1,3
