id,awards,cost,preview,effect,new_show
1,2#600,2#50,,,
2,36#10,2#50,,,
3,435#5,2#50,1,1,
4,2#300,2#50,,,
5,448#1,2#50,1,1,
6,2#300,2#50,,,
7,423#8,2#50,1,,
8,2#300,2#50,,,
9,2#300,2#50,,,
10,358#3,2#50,1,,
11,2#300,2#50,,,
12,417#500,2#50,1,,
13,2#300,2#50,,,
14,36#10,2#50,,,
15,2#300,2#50,,,
16,419#20,2#50,1,1,
17,2#300,2#50,,,
18,426#500,2#50,,,
19,2#300,2#50,,,
20,358#5,2#50,,,
21,2#300,2#50,,,
22,36#20,2#50,1,1,
23,2#300,2#50,,,
24,424#5,2#50,,,
25,2#300,2#50,,,
26,358#5,2#50,,,
27,2#300,2#50,,,
28,36#20,2#50,1,1,
29,2#2000,2#50,1,1,
30,45#1,2#50,1,1,
