id,rank,awards,season_awards,rank_front,frame_id
1,1,2#70|14#600|16#50,2#700|14#3700|16#900,1,8075
2,2,2#68|14#580|16#48,2#680|14#3500|16#850,2,8074
3,3,2#66|14#560|16#46,2#660|14#3300|16#800,3,8073
4,4,2#64|14#540|16#44,2#640|14#3100|16#750,4,
5,5,2#60|14#500|16#40,2#600|14#2900|16#700,5,
6,10,2#55|14#450|16#34,2#550|14#2600|16#660,6-10,
7,20,2#50|14#400|16#31,2#500|14#2300|16#620,11-20,
8,50,2#45|14#350|16#28,2#450|14#2000|16#560,21-50,
9,100,2#40|14#300|16#25,2#400|14#1700|16#500,51-100,
10,300,2#35|14#250|16#22,2#350|14#1400|16#450,101-300,
11,500,2#25|14#200|16#19,2#250|14#1100|16#400,301-500,
12,1000,2#15|14#170|16#16,2#150|14#800|16#300,501-1000,
13,999999,2#8|14#140|16#12,2#80|14#700|16#200,1001-999999,
