id,cost_total,cost_bpexp,cost_diamonds,cost_dct_diamonds,free_award,paid_award,is_bigreward
1,0,117#200,2#600,2#400,221#75,2#500|222#1,0
2,200,117#200,2#600,2#400,1#5000000,424#2,0
3,400,117#200,2#600,2#400,9#5000000,4101067#1|36#15,0
4,600,117#200,2#600,2#400,4#2000,25#5,0
5,800,117#200,2#600,2#400,2#175,358#5|222#1,1
6,1000,117#200,2#600,2#400,221#75,2#500,0
7,1200,117#200,2#600,2#400,14#500,260#1000|4102056#1,0
8,1400,117#200,2#600,2#400,26#1000,43#100,0
9,1600,117#200,2#600,2#400,423#1,424#3|73#10,0
10,1800,117#200,2#600,2#400,940002#50,4402015#1|222#1,1
11,2000,117#200,2#600,2#400,221#75,2#1000,0
12,2200,117#200,2#600,2#400,260#500,261#200,0
13,2400,117#200,2#600,2#400,34#10,374#20|26#5000,0
14,2600,117#200,2#600,2#400,4#3000,25#5,0
15,2800,117#200,2#600,2#400,222#1,221#300|222#1,1
16,3000,117#200,2#600,2#400,221#75,2#1000|27#2000,0
17,3200,117#200,2#600,2#400,14#500,418#2|260#1000,0
18,3400,117#200,2#600,2#400,29#1,6000#200,0
19,3600,117#200,2#600,2#400,423#2,424#5|73#10,0
20,3800,117#200,2#600,2#400,2#175,221#300|222#2,1
21,4000,117#200,2#600,2#400,221#100,2#1000|216#1000,0
22,4200,117#200,2#600,2#400,216#250,418#3|261#200,0
23,4400,117#200,2#600,2#400,36#2,374#20,0
24,4600,117#200,2#600,2#400,10#500,25#5,0
25,4800,117#200,2#600,2#400,2#175,221#300|222#2,1
26,5000,117#200,2#600,2#400,221#100,2#1000,0
27,5200,117#200,2#600,2#400,14#500,420#1,0
28,5400,117#200,2#600,2#400,423#2,424#5|73#20,0
29,5600,117#200,2#600,2#400,20#1,976001#50,0
30,5800,117#200,2#600,2#400,222#1,221#300|222#2,1
31,6000,117#200,2#600,2#400,,221#100,0
32,6200,117#200,2#600,2#400,4#3000,221#100|73#25,0
33,6400,117#200,2#600,2#400,,221#100,0
34,6600,117#200,2#600,2#400,,221#100,0
35,6800,117#200,2#600,2#400,221#100,221#100|222#2,0
36,7000,117#200,2#600,2#400,,221#100,0
37,7200,117#200,2#600,2#400,4#3000,221#100,0
38,7400,117#200,2#600,2#400,,221#100|358#5,0
39,7600,117#200,2#600,2#400,,221#100,0
40,7800,117#200,2#600,2#400,221#100,221#100,0
41,8000,117#200,2#600,2#400,,221#100|222#2,0
42,8200,117#200,2#600,2#400,,221#100,0
43,8400,117#200,2#600,2#400,4#3000,221#100,0
44,8600,117#200,2#600,2#400,,221#100|334#10,0
45,8800,117#200,2#600,2#400,,221#100,0
46,9000,117#200,2#600,2#400,,221#100,0
47,9200,117#200,2#600,2#400,4#3000,221#100|420#2,0
48,9400,117#200,2#600,2#400,,221#100,0
49,9600,117#200,2#600,2#400,,221#100,0
50,9800,,,,,221#100,1
