id,desc
1,Schließe alle Aufgaben dieser Saison ab
2,"Verwende während des Events 5000 ""Mystischer Staub"""
3,"Verwende während des Events 15000 ""Mystischer Staub"""
4,"Verwende während des Events 30000 ""Mystischer Staub"""
5,"Verwende während des Events 100 ""Mystischer Talisman"""
6,"Verwende während des Events 200 ""Mystischer Talisman"""
7,"Verwende während des Events 400 ""Mystischer Talisman"""
8,Verbessere während des Events 20 Mal die Glocken
9,Verbessere während des Events 50 Mal die Glocken
10,Aktiviere oder erwecke während des Events 1 Mal die Glocken
11,Verwende insgesamt 30 grüne Jaden
12,Verwende insgesamt 60 grüne Jaden
13,Verwende insgesamt 100 grüne Jaden
14,Verwende insgesamt 150 grüne Jaden
15,Verwende insgesamt 25 goldene Jaden
16,Verwende insgesamt 50 goldene Jaden
17,Verwende insgesamt 100 goldene Jaden
18,Verwende insgesamt 200 goldene Jaden
19,Verwende insgesamt 500 goldene Jaden
20,Verwende insgesamt 700 goldene Jaden
21,Verwende insgesamt 900 goldene Jaden
