id,title,name,dialog,select_text
1,Ein eigenartiger Sommer,,Ein heißer Sommertag,
2,,,Ich liege gelangweilt auf einer Parkbank,
3,,,Ich,
4,,,Vivian,
5,,,Die sagenumwobene Wahrsagerin der Yume Akademie,
6,,,Wie konnte es nur so weit kommen...,
7,,,"Es fing wahrscheinlich alles mit diesem verdammten ""Fundbüro der Wahrsagerin"" an",
8,,Vivian,....Fundbüro?,
9,,KongMing,"Ja, genau.",
10,,Vivian,"Also habe ich dich richtig verstanden: Du willst, dass ich meine Wahrsagefähigkeiten nutze, um den anderen zu helfen, ihre Sachen wiederzufinden?",
11,,KongMing,Genau.,
12,,KongMing,"Das war doch auch deine Absicht, als du mit dem Wahrsagen angefangen hast: Den anderen helfen Probleme zu lösen und sie glücklich machen.",
13,,Vivian,"Du darfst nicht immer davon ausgehen, dass alle stets aus guten Absichten heraus handeln. Meine Absicht war eigentlich nur, die Nachrichten der Sterne weiterzuleiten... Ich bin eher eine Hobby-As­t­ro­no­min...",
14,,KongMing,"Und dann kommt noch hinzu, dass es jetzt Sommer ist und die Gemüter sowieso schon aufgeheizt sind. Da ist es gleich doppelt ärgerlich, wenn man etwas verliert.",
15,,KongMing,"Also wäre es wirklich super, wenn du allen helfen könntest!",
16,,Vivian,"Jetzt hör mir doch mal zu! Hast du etwa nicht verstanden, was ich gera---",
17,,,...,
18,,,Häh?,
19,,,Hat dieses Fundbüro etwa auch tagsüber offen?,
20,,Vivian,"Aber tagsüber gibt es doch gar keine Sterne, die ich deuten könnte!",
21,,Vivian,Wie soll ich denn ohne die Sterne den Leuten helfen?,
22,,Amelia,"Scheint so, als hättest du irgendwelche Schwierigkeiten. Kann ich dir helfen?",
23,,Vivian,"Wer mit so einem gruseligen Lächeln auf dem Gesicht auf andere Leute zugeht und ihnen ""helfen"" möchte ist meist ein Betrüger...",
24,,Amelia,"Hee! Ich möchte dir doch nur helfen! Hast du dir schon mal überlegt eine andere Hellsehen-Methode zu verwenden, die auch ohne die Sterne funktioniert?",
25,,Vivian,Eine andere Methode?,
26,,Amelia,"Ja, genau. Hier in diesem antiken Buch wird genau über sowas gesprochen. Zum Beispiel das Kapitel hier: ""Glaskugel-Hellsehen für Dummies"" oder ""Alternative Hellsehen-Methoden"".",
27,,Vivian,Aus welchem Jahr stammt denn das Buch?,
28,,Amelia,Das kann ich dir leider nicht sagen.,
29,,Amelia,"Also, hast du Interesse? Wenn du jetzt zuschlägst, bekommst du eine Glaskugel gratis dazu!",
30,,,Ein breites Lächeln trat auf Amelias Gesicht...,
31,,,Ein ungewöhnlich freundliches Lächeln.,
32,,,Ich betrachtete für einen Moment schweigend dieses verdächtige Lächeln...,
33,,,Dann holte ich meinen Geldbeutel heraus und kaufte das alte Buch.,
34,,Vivian,(Blättert durch das Buch) Das soll also ein antikes Buch sein? Wann wurde der Buchdruck nochmal erfunden?,
35,,Vivian,"Ich habe irgendwie das Gefühl, dass das hier kein antikes Buch ist...",
36,,Mädchen A,"Vivian, ich habe das Schild jetzt aufgehängt.",
37,,,...,
38,,,"Wow, hat KongMing das etwa eigenhändig geschrieben? ""Fundbüro der Wahrsagerin""",
