id,text
1,Eine große rote Schleife... Wer die wohl verloren hat?
2,"Ein mechanisches Gerät... Sieht so aus, als würde es jemandem aus dem Haus der Monster gehören."
3,Ein Kreuz sieht man hier wirklich nicht oft. Wem es wohl gehört?
4,(Schüttelt sie~) Wer hat denn diese kleine Glocke verloren?
5,"Ein Kleeblatt? Irgendwie hab ich das Gefühl, dass das zum Haus der Feen passt~"
11,Pippi
12,Fenek
13,Succubus
14,Puppe
15,Wunderschön! Ich glaube jedes Kind wünscht sich so etwas.
16,Ist das ein Geschenk für mich? Oder gehört mir das sowieso schon?
21,Trinity
22,Silvia
23,Schmetterling
24,Hexa
25,"Wenn ich mir die Größe und Form so anschaue, dann müsste das wahrscheinlich ein Kopfschmuck sein..."
26,Oh... Das ist ja meine Haarspange... Tzzzz~
31,Apate
32,Teresa
33,Uriel
34,Isabella
35,Ein weißes Kreuz muss nicht unbedingt einem Engel gehören~
36,"Mist, eigentlich wollte ich damit jemanden... Ähm, ich meine natürlich: Vielen Dank..."
41,Maska
42,Kira
43,Babel
44,Esau & Jacob
45,Ich glaube ich habe diese Glocke mal an einem der Diener gesehen...
46,Bestimmt hat Bruno sie verloren!
51,Holly
52,Vera
53,Knospe
54,Joan
55,Dies gehört wohl jemand anderem. Such weiter~
56,"Vielen Dank, Senpai! Ich hab gerade erst bemerkt, dass ich es verloren habe~"
