id,title,name,dialog,select_text
101101,Fotostudio-1,*,"Das ist ein Fotostudio, wie wäre es wenn wir bei dieser seltenen Gelegenheit ein Foto zusammen machen~",
101102,,Giana,Ein Foto…sollten wir nicht lieber dafür einen Profi nach Hause kommen lassen?,
101103,,*,"Vielleicht hast du bisher selten davon gehört, aber viele Leute machen hier Fotos, komm lass uns zusammen eins machen~",
101104,,Giana,Oh…so ist das also? Ich hatte keine Ahnung…,
101105,,Giana,Aber warum starrst du mich so an? Hab ich irgendwas im Gesicht?,
101106,,Giana,Huh? Du schaust also wirklich mich an~,
101107,,Giana,Ah…du bist wirklich sehr süß Senpai…,
101108,,Giana,So ein direktes Lob ist zu viel für mich.,
101201,Fotostudio-2,Giana,Das ist das Fotostudio vom letzten Mal~,
101202,,*,"Wirklich schade, dass der Fotograph letztes Mal etwas zu tun hatte und die Fotos nicht fertig machen konnte. Wollen wir es nochmal versuchen?",
101203,,Giana,"Ah…ich habe nichts dagegen, solange du mich nicht so anstarrst…",
101204,,*,Nein…das werde ich nicht…,
101205,,Ladenbesitzer,"Willkommen, wollt ihr beide ein Foto machen? Wenn ihr Fotos machen wollt, solltet ihr euch vielleicht noch umziehen~",
101206,,Ladenbesitzer,"Natürlich seid ihr beide ein Paar, eure Kleidung passt ganz ausgezeichnet zusammen.",
101207,,Giana,Senpai du siehst du angezogen perfekt aus~Aber lass mich noch deinen Kragen ordnen.,
101208,,Giana,"Ah, natürlich bist du nicht gewillt dich für mich umzuziehen…",
101301,Fotostudio-3,*,"Endlich ist der Tag gekommen, die Fotos sollten bereits entwickelt sein~",
101302,,Giana,Ich dachte eigentlich man könnte die Fotos direkt nach dem sie gemacht wurden mitnehmen. Du hast deshalb letztes Mal über mich gelacht…,
101303,,*,Du bist einfach nur nicht an das Leben von uns normalen Menschen gewöhnt~,
101304,,*,"Ich hab den Ladenbesitzer gebeten ein Foto mehr zu entwickeln, so hast du auch eine Erinnerung.",
101305,,Ladenbesitzer,"Tut mir sehr leid, die Druckmaschine hat ein Problem, ein Foto ist deshalb noch nicht fertig, ihr müsst noch ein wenig warten.",
101306,,Giana,"Ah, ist das für mich! Ich freu mich ja so sehr! Ich werde es stets in Ehren halten…",
101307,,Ladenbesitzer,"Tut mir wirklich leid, ich glaube heute gibt es keine Möglichkeit mehr die Druckmaschine zu reparieren…",
101308,,Giana,"Schade, aber solange Senpai an meiner Seite ist wird mir beim Warten nicht langweilig.",
101309,,*,"Solange wir den Film haben, können wir das Foto jederzeit ausdrucken.",
101310,,Giana,"Ich habe einen Vorschlag, du könntest meine Erscheinung in deinem Kopf speichern. Das würde schneller gehen als ein Foto zu entwickeln~",
102101,Gourmet Cafeteria-1,*,"Das ist das erste Mal, dass ich in der Gourmet Cafeteria bin…hier zu essen kostet mich ein Jahr meiner jährlichen Lebeshaltungskosten…",
102102,,Giana,Senpai? Was redest du da?,
102103,,*,"Oh…ich überlege, welches Gericht ich dir empfehlen kann.",
102104,,Giana,"Wie wunderbar, ich dachte schon du fändest es zu teuer, um hier zu essen.",
102105,,Giana,"Aber da du öfter hier bist, mach dir die Mühe und bestell einfach für mich.",
102106,,*,"Mist, aus welchem Ehrgefühl heraus habe ich das nur gesagt.",
102107,,Giana,"Gute Wahl~Der Name kommt vom Mont Blanc, da das Gericht an Schneebedeckte Berge erinnert~",
102108,,Giana,Bitte geh dieses Jahr unbedingt mit mir zusammen die wunderschöne Berglandschaft genießen…,
102109,,Giana,Ah? Dieses Gericht ist wirklich eine Überraschung…,
102110,,*,Was…was ist los?,
102111,,Giana,"Nichts, es ist nur, dass viele weil sie Angst vor dem Aussehen des Wels haben, diesen nicht essen wollen. Ich hätte nicht gedacht, dass du auch den leckeren Geschmack des Wels schätzt.",
102112,,Giana,Dieses Gericht ist mein Lieblingsgericht. Du kennst mich wirklich gut.,
102201,Gourmet Cafeteria-2,*,"Nachdem ich diese Gourmet-Cafeteria betreten habe, habe ich nicht nur ohne es zu wissen, das teuerste Gericht bestellt, sondern auch davon gekostet!",
102202,,*,Jetzt gibt es wohl keine Möglichkeit mehr es zurück gehen zu lassen…Auf Wiedersehen mein Jahresunterhalt…,
102203,,Giana,"Senpai, wie findest du den Geschmack?",
102204,,Giana,Bargeld…du meinst Papiergeld? Hast du so etwas etwa schonmal gegessen? Wie furchtbar…,
102205,,Giana,"Ich bereue es wirklich, dass ich dir keine bessere Erinnerung bereiten konnte…",
102206,,Giana,"Aber dieses Essen ist nicht schlecht, willst du es mal probieren?",
102207,,Giana,Ah? Schmeckt es wirklich so gut?,
102208,,Giana,"Eigentlich wollte ich mit dir das Rezept teilen, aber anscheinend ist das gar nicht mehr nötig.",
102301,Gourmet Cafeteria-3,Giana,"Ich bin satt, vielen Dank~Senpai, bist du auch satt?",
102302,,*,Na-…natürlich…,
102303,,*,"Noch nie habe ich mir mehr gewünscht, die Zeit zu verlängern, damit ich nicht zahlten muss.",
102304,,Giana,"Diese Cafeteria gehört tatsächlich meiner Familie, also müsen wir nichts bezahlen~",
102305,,Giana,Aber ich fand deine Einladung unheimlich süß!,
102306,,Giana,"Aber weil es das Restaurant meiner Familie ist, müssen wir nichts bezahlen~",
