id,name,desc
1,Leer,
2,Eisfeld I,Normales Eisfeld. Die Verteidigerinnen hier haben gute Angriffsfähigkeiten.
3,Eisfeld I,Normales Eisfeld. Die Verteidigerinnen hier haben starke Abwehrfähigkeiten.
4,Eisfeld II,Ein Eisfeld am Schneegebirge. Die Verteidigerinnen sind gut ausgerüstet und haben gute Angriffsfähigkeiten.
5,Eisfeld II,Ein Eisfeld am Schneegebirge. Die Verteidigerinnen sind gut ausgerüstet und haben starke Abwehrfähigkeiten.
6,Polarstation,"Diese Forschungsstation wurde von Alberta aufgebaut. Alle Lagermitglieder, die 3 Spielfelder (oder weniger) weit von diesem Feld stehen, erhalten zusätzliche Buffs."
7,Eisscholle,Eine vor sich hin treibende Eisscholle. Die Verteidigerinnen hier sind äußerst stark und haben gleichzeitig gute Angriffsfähigkeiten.
8,Eisscholle,Eine vor sich hin treibende Eisscholle. Die Verteidigerinnen hier sind äußerst stark und haben gleichzeitig gute Abwehrfähigkeiten.
9,Schneegebirge,"Das Schneegebirge in der Mitte des Nordpols. Ein jahrelang anhaltender Sturm prägte die Landschaft dieser Bergkette. ""Eisklaue"", wie sich eine riesige Kreatur des Chaos nennt, lebt hier versteckt in der Dunkelheit."
10,Basis - DK,"Basis des Disziplinarkomitees. Alle Spieler des Lagers ""Disziplinarkomitee"", die 3 Spielfelder (oder weniger) weit von ihrem Basislager stehen, erhalten zusätzliche Buffs."
11,Basis - DEF,"Basis von DEF. Alle Spieler des Lagers ""DEF"", die 3 Spielfelder (oder weniger) weit von ihrem Basislager stehen, erhalten zusätzliche Buffs."
12,Basis - SV,"Basis der Studierendenvereinigung. Alle Spieler des Lagers ""Studierendenvereinigung"", die 3 Spielfelder (oder weniger) weit von ihrem Basislager stehen, erhalten zusätzliche Buffs."
13,測試用格,不翻譯
14,測試用格,不翻譯
