id,name,desc
101,HP,Erhöht die [c][e28002]HP[-][/c] aller Mädchen des eigenen Teams um [c][01a310]4%[-][/c]
201,Angriff,Erhöht den [c][e28002]Angriff[-][/c] aller Mädchen des eigenen Teams um [c][01a310]3%[-][/c]
301,Rüstung,Erhöht die [c][e28002]Rüstung[-][/c] aller Mädchen des eigenen Teams um [c][01a310]60[-][/c]
401,Krit. Rate,"Erhöht die [c][e28002]Krit. Rate[-][/c] aller Mädchen des eigenen Teams um [c][01a310]3,5%[-][/c]"
501,Speed,Erhöht den [c][e28002]Speed[-][/c] aller Mädchen des eigenen Teams um [c][01a310]8[-][/c]
601,Skill-Schadensrate,Erhöht die [c][e28002]Skill-Schadensrate[-][/c] aller Mädchen des eigenen Teams um [c][01a310]7%[-][/c]
701,Schadensreduzierungsrate,Erhöht die [c][e28002]Schadensreduzierungsrate[-][/c] aller Mädchen des eigenen Teams um [c][01a310]2%[-][/c]
801,Rüstungsbruch,Erhöht den [c][e28002]Rüstungsbruch[-][/c] aller Mädchen des eigenen Teams um [c][01a310]7%[-][/c]
901,Kontrollimmunitätsrate,Erhöht die [c][e28002]Kontrollimmunität[-][/c] aller Mädchen des eigenen Teams um [c][01a310]6%[-][/c]
1001,Blockade,Erhöht die [c][e28002]Blockade[-][/c] aller Mädchen des eigenen Teams um [c][01a310]6%[-][/c]
1101,Heiliger Schaden,Erhöht den [c][e28002]heiligen Schaden[-][/c] aller Mädchen des eigenen Teams um [c][01a310]5%[-][/c]
1201,Extra Kontrollrate,Erhöht die [c][e28002]Extra Kontrollrate[-][/c] aller Mädchen des eigenen Teams um [c][01a310]8%[-][/c]
1301,Präzision,Erhöht die [c][e28002]Präzision[-][/c] aller Mädchen des eigenen Teams um [c][01a310]9%[-][/c]
102,HP,Erhöht die [c][e28002]HP[-][/c] aller Mädchen des eigenen Teams um [c][01a310]4%[-][/c]
202,Angriff,Erhöht den [c][e28002]Angriff[-][/c] aller Mädchen des eigenen Teams um [c][01a310]3%[-][/c]
302,Rüstung,Erhöht die [c][e28002]Rüstung[-][/c] aller Mädchen des eigenen Teams um [c][01a310]60[-][/c]
402,Krit. Rate,"Erhöht die [c][e28002]Krit. Rate[-][/c] aller Mädchen des eigenen Teams um [c][01a310]3,5%[-][/c]"
502,Speed,Erhöht den [c][e28002]Speed[-][/c] aller Mädchen des eigenen Teams um [c][01a310]8[-][/c]
602,Skill-Schadensrate,Erhöht die [c][e28002]Skill-Schadensrate[-][/c] aller Mädchen des eigenen Teams um [c][01a310]7%[-][/c]
702,Schadensreduzierungsrate,Erhöht die [c][e28002]Schadensreduzierungsrate[-][/c] aller Mädchen des eigenen Teams um [c][01a310]2%[-][/c]
