id,desc,result
1001,Hebe die Öllampe auf und reibe sie,"""Endlich bin ich frei!"" Aus der Lampe kommt ein blauer, lachender Geist geschossen und fliegt davon. Du bleibst nur mit der Lampfe in der Hand zurück."
1002,Bespreche Bedingungen mit der Stimme,"Die Stimme in der Lampe bleibt einen Momentlang ruhig. Dies zeigt, dass er lieber etwas warten würde. Am Ende sagt er nichts mehr."
2001,"Schau, ob du in das Loch reinkommst","Dein Körper ist offensichtlich zu groß, vergiss es. Aber vielleicht findest du auch etwas, wenn du deine Hand reinstreckst."
2002,Schmeiß einen Stein in das Loch,"Nachdem der Stein in der Dunkelheit des Loches verschwunden ist, hört man lange kein Geräusch. Vielleicht ist dieses Loch tiefer als gedacht."
3001,Pflanze die Bohne im Boden,"Die Bohne treibt Wurzeln kurz nachdem sie geflanzt wurde, Bilde ich mir das ein, oder wächst sie sehr schnell?"
3002,Iss die Bohne,Du isst die Bohne. Sie schmeckt ganz normal. Vielleicht wäre sie gekocht besser.
4001,Ignorieren,"Du entscheidest dem Apfel keine Beachtung zu schenken und schaust dich erst weiter in der Hütte um. Nach einner Weile merkst du, dass der Apfel nicht mehr da ist."
4002,Apfel essen,"Dein Bauch tut etwas weh. Plötzlich fällst du in Ohnmacht…als du wieder aufwachst, kannst du nicht sagen wieviel Zeit vergangen ist."
5001,Packe die Streichhölzer ein,"Kurz nachdem du die Streichhölzer eingepackt hast, kommt ein Mädchen, dass barfuß ist und will die Streichhölzer haben. Außerdem bedankt sie sich bei dir."
5002,Zünde ein Streichholz an,"Du zündest das Streichholz an und einen Moment später bist du wieder an der Akademie. Als das Streichholz ausgeht, entdecktst du, dass es nur eine Illusion ist."
6001,Nenne ein Gericht in der Cafeteria,"Als du den Namen eines Gerichts versuchst, öffnet sich die Tür. Nachdem du hindurchgegangen bist, erkennst du, dass viele Schätze in der Höhle dahinter liegen."
6002,Nenne eine Medizin in der Klinik,"Du hast jede Menge Namen ausprobiert, aber die Tür öffnet sich nicht. Du kannst nur wieder weggehen"
7001,Schau zurück,"Du schaust zurück, aber nichts scheint passiert zu sein und du läufst weiter. Aber egal wo du hingehst, scheint die Straße die gleiche zu sein…"
7002,Du drehst dich nicht um,"Es weht ein kalter Wind, aber er stört deine Warhnehmung nicht"
8001,Wer ist die Schönste der Welt?,"""Wer einen Spiegel diese Frage stellt hat sicher viel Selbstbewusstsein, aber ich muss ehrlich sein"" antwortet der Spiegel an der Wand."
8002,Wie kann ich entkommen?,Der Spiegel zeigt keine Reaktion. Es scheint es ist doch nur ein ganz normaler Spiegel.
9001,Wer geht nachschauen,Allein der Anblick von so viel Süßigkeiten gibt dir das Gefühl zugenommen zu haben. Schnell verlässt du das Zimmer. Deine Schuhe kleben bei jedem Schritt am Boden.
9002,Süße Sachen sind nicht gesund,"Der süße Geruch bleibt im Wald hängen. Noch nachdem du weit gegangen bist, kannst du ihn riechen."
10001,Höre genau auf das Lied,"Du hörst ihm fasziniert zu, bis du von einem Stein getroffen wirst und merkst, dass du ihm eine weite Strecke gefolgt bist."
10002,Es gibt wichtigere Sachen zu tun,"Als du noch etwas weiter gegange bist, merkst du das er eine ganze Gruppe von Menschen anführt und du weißt nicht was er mit ihnen macht."
