id,name,desc
1,Dichter Nebel,Erhöht HP von NPC um 18% und Angriff um 14%
2,Wahrnehmen,Erhöht die Kontrollimmunitätsrate und Kontrollrate von NPCs jeweils um 30%
3,Geschicklichkeit,Erhöht die Blockade und Präzision von NPC jeweils um 30%
4,Furchtloser Schild,Erhöht die Blockade deiner Mädchen um 30%
5,Körperverstärkung,Erhöht die HP deiner Mädchen um 18%
6,Angriffsverstärkung A,Erhöht den Angriff deiner Mädchen von Dämon- und Engel-Fraktion um 18%
7,Angriffsverstärkung B,Erhöht den Angriff deiner Mädchen von Geister- und Monster-Fraktion um 18%
8,Angriffsverstärkung C,Erhöht den Angriff deiner Mädchen von Menschen- und Feen- Fraktion um 18%
9,Böse Zeremonie,Zu Beginn des Kampf erhalten deine Mädchen 200 Energie
10,Heiliger Schutz,Beim tödlichen Schlag ist dein Mädchen immun gegen diesem Angriff (beim jeden Kampf nur einmal)
11,Verbundenheit,"Deine Mädchen erhalten eine Schadensreduzierung von 25%; Wenn dein Mädchen Schaden erleidet, gibt es eine 50%ige Chance den Schaden auf alle Verbündeten zu verteilen."
12,Immunität,Erhöht die Kontrollimmunitätsrate deiner Mädchen um 100%
13,Doppelklinge,Nach jedem Standard Angriff haben Deine Mädchen eine 50%ige Chance den Standard Angriff nochmal freizusetzen
14,Volles Potenzial,Erhöht Krit. und Krit. Schaden deiner Mädchen jeweils um 25%
