id,event_name,desc
1,Tägliches Ereignis·Segen,Erhöht Angriff deiner Mädchen der Dämonen- und Engel-Fraktion um 18%
2,Tägliches Ereignis·Segen,Erhöht Angriff deiner Mädchen der Dämonen- und Engel-Fraktion um 18%
3,Tägliches Ereignis·Segen,Erhöht Angriff deiner Mädchen der Dämonen- und Engel-Fraktion um 18%
4,Tägliches Ereignis·Segen,Erhöht Angriff deiner Mädchen der Dämonen- und Engel-Fraktion um 18%
5,Tägliches Ereignis·Segen,Erhöht Angriff deiner Mädchen der Dämonen- und Engel-Fraktion um 18%
6,Tägliches Ereignis·Segen,Erhöht Angriff deiner Mädchen der Dämonen- und Engel-Fraktion um 18%
7,Tägliches Ereignis·Segen,Erhöht Angriff deiner Mädchen der Geister-Fraktion um 18%
8,Tägliches Ereignis·Segen,Erhöht Angriff deiner Mädchen der Geister-Fraktion um 18%
9,Tägliches Ereignis·Segen,Erhöht Angriff deiner Mädchen der Geister-Fraktion um 18%
10,Tägliches Ereignis·Segen,Erhöht Angriff deiner Mädchen der Geister-Fraktion um 18%
11,Tägliches Ereignis·Segen,Erhöht Angriff deiner Mädchen der Geister-Fraktion um 18%
12,Tägliches Ereignis·Segen,Erhöht Angriff deiner Mädchen der Dämonen- und Engel-Fraktion um 18%
13,Tägliches Ereignis·Segen|Tägliches Ereignis·Sprung,Erhöht Angriff deiner Mädchen der Menschen-Fraktion um 18%|Die Herausforderung in「Wald 08」wurde automatisch abgeschlossen.
14,Tägliches Ereignis·Segen|Tägliches Ereignis·Sprung,Erhöht Angriff deiner Mädchen der Menschen-Fraktion um 18%|Die Herausforderung in「Burg 02」wurde automatisch abgeschlossen.
15,Tägliches Ereignis·Segen|Tägliches Ereignis·Sprung,Erhöht Angriff deiner Mädchen der Menschen-Fraktion um 18%|Die Herausforderung in「Stadt 45」wurde automatisch abgeschlossen.
16,Tägliches Ereignis·Segen|Tägliches Ereignis·Sprung,Erhöht Angriff deiner Mädchen der Menschen-Fraktion um 18%|Die Herausforderung in「See 24」wurde automatisch abgeschlossen.
17,Tägliches Ereignis·Segen|Tägliches Ereignis·Sprung,Erhöht Angriff deiner Mädchen der Menschen-Fraktion um 18%|Die Herausforderung in「Haus 09」wurde automatisch abgeschlossen.
18,Tägliches Ereignis·Segen,Erhöht Angriff deiner Mädchen der Dämonen- und Engel-Fraktion um 18%
19,Tägliches Ereignis·Segen|Tägliches Ereignis·Sprung,Erhöht Angriff deiner Mädchen der Monster-Fraktion um 18%|Die Herausforderung in「Wald 03」wurde automatisch abgeschlossen
20,Tägliches Ereignis·Segen|Tägliches Ereignis·Sprung,Erhöht Angriff deiner Mädchen der Monster-Fraktion um 18%|Die Herausforderung in「Burg 05」wurde automatisch abgeschlossen
21,Tägliches Ereignis·Segen|Tägliches Ereignis·Sprung,Erhöht Angriff deiner Mädchen der Monster-Fraktion um 18%|Die Herausforderung in「Stadt 52」wurde automatisch abgeschlossen
22,Tägliches Ereignis·Segen|Tägliches Ereignis·Sprung,Erhöht Angriff deiner Mädchen der Monster-Fraktion um 18%|Die Herausforderung in「See 25」wurde automatisch abgeschlossen
23,Tägliches Ereignis·Segen|Tägliches Ereignis·Sprung,Erhöht Angriff deiner Mädchen der Monster-Fraktion um 18%|Die Herausforderung in「Haus 05」wurde automatisch abgeschlossen
24,Tägliches Ereignis·Segen,Erhöht Angriff deiner Mädchen der Geister-Fraktion um 18%
25,Tägliches Ereignis·Segen|Tägliches Ereignis·Segen,Erhöht Angriff deiner Mädchen der Feen-Fraktion um 18%|Erhöht HP deiner Mädchen um 18%
26,Tägliches Ereignis·Segen|Tägliches Ereignis·Segen,Erhöht Angriff deiner Mädchen der Feen-Fraktion um 18%|Erhöht HP deiner Mädchen um 18%
27,Tägliches Ereignis·Segen|Tägliches Ereignis·Segen,Erhöht Angriff deiner Mädchen der Feen-Fraktion um 18%|Erhöht HP deiner Mädchen um 18%
