id,name,desc
1,Angriff,Angriff von Verbündeten um 30% erhöhen
2,Abwehr,Erlittenen Schaden von Verbündeten wird um 30% verringert
3,Aufwerten,"9-Sterne Verbündete oder niedriger erhalten 100.000 Angriff und 500.000 HP, Verbündete höher als 9-Sterne erhalten 15% Angriff und 15% HP"
4,Überraschungsangriff,Am Anfang des Kampfs haben die Feinde 70% HP. Verbündeten erleiden während der ersten 3 Runden keinen Schaden und sind immun gegen alle Debuffs
5,Kräftiger Schlag,"Am Anfang des Kampfs haben Verbündeten 200 MP. Wenn sie aktive Fähigkeiten freisetzen, können sie einen zusätzlichen Schaden an dem Ziel verursachen, der 10% von seiner Max-HP beträgt"
6,Tapferer Körper,"Wenn Verbündete einen tödlichen Schaden erleiden, wird dieser Schaden abgewehrt, und ihre erlittenen Debuffs werden entfernt. Alle von ihnen erlittenen Schäden werden ausgeglichen und zu 100% auf den Angreiffer übergetragen, es dauert 2 Runden."
7,Dicker Panzer,HP von allen Feinden wird um 30% erhöht
8,Adrenalin,Angriff von allen Feinden wird um 30% erhöht
9,Schildwand,Rüstung von allen Feinden wird um 30% erhöht
10,Sternfall,Max-HP von allen Dämon- oder Engel-Verbündeten wird um 20% verringert
11,Dichter Nebel,"Verursachter Schaden von allen Geist-, Mensch-, Monster- und Fee-Verbündeten um 15% verringern"
12,Müdigkeit,"Blockade von Krieger-Verbündeten um 20% verringern, Präzision von Ranger- und Magier-Verbündeten um 20% verringern, Bruch von Mörder-Verbündeten um 25% verringern, Heilung von Priester-Verbündeten um 15% verringern"
13,Schutzunterstand,Krit.-Resistenz von allen Feinden um 30% erhöhen (Bei der Rechnung vom Krit.-Schaden gleicht die Verringerung der Krit.-Rate vom Angreifer den Wert der eigenen Krit.-Resistenz aus)
14,Miasma,Erlittene Heilung von Verbündeten um 60% verringern
15,Heilverstärkung,Jeder Feind regeneriert am Ende der Runde seine HP (Von 15% seiner Max-HP)
16,Energieablenkung,Während der ersten drei Runden können Verbündeten keine aktiven Fähigkeiten freisetzen.
17,Mobilisieren,"Die ersten zwei Feinde, die einen tödlichen Schaden erleiden, regenerieren ihre HP sofort um 100%."
18,Gesamtangriff,Am Anfang des Kampfs erhalten alle Feinde 200 MP. Am Ende der ersten zwei Runden regenerieren sich alle Feinde 100 MP
19,Unbekannte Fessel,"Am Anfang des Kampfs erhalten 3 zufällige Verbündete ein Siegel (Alle auslösbaren passiven Fähigkeiten funktionieren nicht, kann nicht aufgelöst werden), es dauert 2 Runden. Dieser Effekt wird alle zwei Runde einmal ausgelöst."
20,Bluten,Am Ende der Runde erleidet alle Verbündeten einen Schaden (Von 10% ihrer Max-HP)
21,Desinfektionsmittel,Am Ende der Runde enfernt jeder Feind zufällig 3 erlittene Debuffs
22,Schutzkleidung,Während der ersten Runde sind alle Feinde immun gegen alle Debuffs. Während der ersten 2 Runden erleiden sie keinen Schaden
23,Verzögerer,"Am Anfang des Kampfs wird jeglicher vom Feind erlittene Schaden um 90% reduziert. Am Ende der Runde verringert sich dieser Effekt um 10%, bis auf 50%."
24,Dorn,"Wenn eine Verbündete einen normalen Angriff oder aktive Fähigkeit freisetzt und Schaden verursacht, erleidet sie selbst einen Schaden (Von 100% des von ihr verursachten Schadens)"
25,Panzerplatte,"Wenn ein Feind einen Schaden erleidet, wird dieser Schaden nicht mehr als 10% von seiner Max-HP sein"
