id,title,name,dialog,select_text
1,Tiefseedrachenpalast,Eve,Dieser Strand sieht wahnsinnig genauso wie der auf der Schatzkarte aus. Es gibt also wirklich Schätze in dem alten Drachenpalast...,
2,,Eve,"Ich habe nicht damit gerechnet, dass ich hier so einen Glücksfall haben kann. Wenn ich die legendären geheimen Schätze, die von dem riesigen Drachen bewacht werden, bekommen könnte...",
3,,Eve,"Dann würde ich genug Geld haben, mein Ideal zu erreichen. Den Drachenpalast in der Tiefsee, ich muss ihn erobern!",
4,,Eve,"Aber ich kann es vielleicht nicht schaffen, all die Schätze allein zurückzubringen. Der riesige Drache ist auch ein Problem. Ich muss einen Helfer finden...",
5,,Diana,Es ist Zeit für das kostenlose Grillbuffet! Wo ist der Grill!!!,
6,,Diana,"Wow, Eve, du siehst so gut aus in diesem Outfit!",
7,,Eve,Perfekt! Gerade ist so ein ganz starkes und unschuldiges braves Mädchen da.,
8,,Eve,"Gefällt dir mein Outfit? Wie wär's, wenn du mir einen Gefallen tust und ich dir ein Set schenke?",
9,,Diana,"Outfit... Das will ich zwar haben, aber gegrilltes Fleisch ist viel wichtiger! Wenn ich zu spät komme, wird Quinie alles aufessen. Also vergiss es!",
10,,Eve,"Dann machen wir es so: Ich gebe dir nicht nur ein Outfit, sondern lade dich auch zum Grillfest essen. Du kannst so viel essen, wie du willst.",
11,,Diana,So viel wie ich will? Und Quinie darf nichts davon nehmen?,
12,,Eve,"Ja, das alles gehört dir. (Verglichen mit den enormen Schätzen ist dieser Aufwand ja nichts.)",
13,,Diana,"Gut! Überlass mir alles, was ich dabei helfen kann!",
14,,Eve,"Es ist der Ort, der auf der Schatzkarte angegeben wurde. Und den Drachen, der die Schätze bewachen soll, habe ich nicht gesehen. Gute Chance.",
15,,Eve,"Diana, hilf mir, die Sachen auf das Boot zu tragen. Dann können wir zurückgehen, Outfits kaufen und Fleisch essen.",
16,,Diana,"Keine Sorge, ich bin sehr stark! Hehe...",
17,,Eve,"Was für ein gutes Mädchen! Sie ist so einfach und begehrt gar nicht die Sachen, die ihr nicht gehören, so gut wie meine Hunde.",
18,,Diana,Huhu... Huhu... Endlich fertig! Ich bin so müde und todhungrig! Ich muss eine große Mahlzeit essen.,
19,,Eve,"Keine Sorge, die guten Hunde, die mir geholfen haben, werden alles bekommen, was sie wollen.",
20,,Diana,Hunde?,
21,,Geheul des Drachen,Roar--!!!,
22,,Diana,"Was für ein lautes Schnarchen... Er muss tief und fest geschlafen haben! So gut werde ich auch schlafen, wenn ich mich an Fleisch satt gegessen habe!",
23,,Eve,"Kleiner Idiot, das ist das Geräusch eines Drachens. Also verschwinden wir von hier...",
24,,Diana,Die Arbeit ist getan! Fleisch! Fleisch!,
25,,Eve,Pst! Es gibt noch viel zu tun. Wir müssen sie noch in meine geheime Festung bringen.,
26,,Diana,Ich habe Hunger... Fleisch! Fleisch! Gegrilltes Fleisch!,
27,,Eve,(Ernsthaft) Die unfolgsamen Hunde werden leiden.,
28,,Diana,Gooo... Mir sträubten sich die Haare...,
29,,Eve,"Oh, bist du erschrocken? Keine Angst, du bist doch ein braves Mädchen. Also halte deinen Hunger noch ein bisschen aus, okay?",
30,,Diana,QAQ... Okay...,
31,,,"Diana machte ein langes Gesicht, als sie die Kajüte betrat, in der die Schätze aufbewahrt wurden.",
32,,Diana,Kein neues Outfit und kein gegrilltes Fleisch... So hungrig... Zum Glück habe ich Fleisch mitgebracht~,
33,,Diana,Schon aufgegessen? So wenig... Eve hält ihr Wort nicht. Ich werde ihr nichts zu Essen geben!,
34,,,Diana warf wütend den riesigen Knochen in ihrer Hand und... KRACK!!!,
35,,Eve,(Von außerhalb der Kajüte) Was ist das für ein Geräusch?,
36,,Diana,"Nein, nichts!",
37,,Diana,"Oh nein, der Knochen hat ein riesiges Loch in der Wand verursacht... Was soll ich tun... Die furchtbare Eve wird das sehen.",
38,,Diana,Ach ja! Ich kann das Loch mit diesen glänzenden Kristallen verschließen!,
39,Die Eigentümerin,Raenvya,(Gähnt) ...,
40,,？？？,"Hehe, ich wusste, dass du hier einen guten Schlaf haben würdest, kleine Raenvya.",
41,,Raenvya,……,
42,,？？？,"War... warte mal, warum schaust du mich mit so seltsamen Augen an? Hast du mich aus deinem Gedächtnis gelöscht, nachdem du geschlafen hast?!",
43,,？？？,Wie kannst du mich vergessen?! Du bist so kalt! So herzlos!,
44,,Raenvya,"... Es ist nur so, dass ich noch nicht ganz wach bin. Natürlich erinnere ich mich an dich, Poseidia.",
