id,desc
1,Schließe alle täglichen Aufgaben unten ab
2,Siehe 1 Mal in irgendeinem Korridor an
3,Verwende 3 Arenatickets
4,Monatsthema - Schließe 1 Kampf unter Praktischer Arbeit ab
5,"Löse 1 Mal das Sonderereignis ""Wasserball"" aus"
6,"Löse 1 Mal das Sonderereignis ""Einsiedlerkrebs"" aus"
7,"Löse 1 Mal das Sonderereignis ""Wasserhahn"" aus"
8,Tausche die Seesterne für 1 Kostüm aus
9,Verwende insgesamt 10 Schaufeln
10,Verwende insgesamt 40 Schaufeln
11,Verwende insgesamt 70 Schaufeln
12,Verwende insgesamt 100 Schaufeln
13,Verwende insgesamt 150 Schaufeln
14,Erhalte insgesamt 1000 Punkte
15,Erhalte insgesamt 1500 Punkte
16,Erhalte insgesamt 2000 Punkte
17,Erhalte insgesamt 3000 Punkte
18,Erhalte insgesamt 6000 Punkte
19,Erhalte insgesamt 10000 Punkte
20,Schließe 1 3/4/5/6/7-Sterne Jobaufgabe ab
