id,text,option1,option2,option3
12020001,Welches ist der Name einer Fraktion in der Akademie?,Menschen,Drache,Stern
12020002,Was zählt nicht zu einer der 6 Fraktionen in der Akademie?,Geister,Dämonen,Teufel
12020003,Gegen Mädchen von welcher Fraktion können die Mädchen der Menschen Fraktion besser kämpfen?,Monster Fraktion,Geister Fraktion,Feen Fraktion
12020004,Mädchen von welcher Fraktion können gegen die Mädchen der Menschen Fraktion besser kämpfen?,Monster Fraktion,Geister Fraktion,Feen Fraktion
12020005,Welches Mädchen gehört zur Menschen Fraktion?,Historia,Aquaris,Kong Ming
12020006,Welches Mädchen gehört zur Menschen Fraktion?,Iron Fist,Dracula,Anastasia
10010007,"Wenn Senpai offline geht, werden die Mädchen weiter die Kampfausbeute sammeln. Wie lange dauert diese automatische Sammlung der Kampfausbeute maximal an?",8 Stunden,10 Stunden,12 Stunden
10010008,Historias Wohnheim scheint zu ärmlich zu sein. Wo kann sie sich einige neue Möbel zulegen?,Einfach beim Auto. Kampf warten. Gute Möbel werden selbst zu mir kommen.,Zum Möbelladen im Wohnheim gehen!,Im Café auf der Einkaufsstraße können Möbel gekauft werden.
12020007,"Du hast endlich die Chance, Historia zu daten! Welches Geschenk würde ihr gefallen?",Regenschirm,Fuchsmaske,Taschenlampe
10010010,Iron Fist hat eine neue Gilde erstellt. Wie kann sie die Kapazität der Gilde erhöhen?,"Sich täglich anmelden, um Gilden-EXP zu sammeln und somit das Gildenlevel zu erhöhen","Am Kampf in der Arena teilnehmen, um Belohnungen zu gewinnen",Einfach beim Auto. Kampf warten
10010011,Historia hat einige Gildenmünzen im Gildenevent bekommen. Wofür können diese Gildenmünzen verwendet werden?,Ziehen am Glücksautomaten,"Forschen im Gildenlabor, um Attribute der Mädchen zu erhöhen",Sie können als Geschenke beim Date mit Historia gegeben werden
10010012,In der Vergangenheit wird immer die Spur von der Zukunft versteckt. Wo kann man die alte Geschichte wieder herstellen?,"Sobald die alte Geschichte verloren ist, können wir sie wohl nicht mehr wiederherstellen.",Wähle die entsprechende alte Runde im Abenteuer um dort den Auto. Kampf zu aktivieren,Prüfe unter Menü - Erinnerung
10010013,Die Akademie hat dir viele Avatars zur Verfügung gestellt. Auf welche Weise können die Avatars gesammelt werden?,Erhalte ein neues Mädchen um ihren Avatar zu bekommen,Schließe die Jobaufgaben ab um neuen Avatar zu bekommen,Einfach beim Auto. Kampf warten
10010014,Die Akademie hat dir viele Avatars zur Verfügung gestellt. Auf welche Weise können die Avatars gesammelt werden?,Im Möbelladen können Avatars gekauft werden,Kaufe ein neues Kostüm eines Mädchens um den speziellen Avatar dieses Kostüm zu bekommen,Füge einen Freund hinzu um seinen Avatar zu erhalten
10010015,Die Brotdosen reichen für die Verbesserung der Mädchen nicht aus! Es gibt viele Methoden für Sammlung der Brotdose aber welche von den folgenden zählt NICHT dazu?,"Einfach beim Auto. Kampf warten. Je höher das Level der Runde ist, desto mehr Brotdosen kannst du bekommen",Schließe die Runden im Test ab um reiche Brotdosen als Belohnungen zu bekommen,Fordere deine Freunde im Chat dir Brotdosen zu schenken
10010016,Mit den Münzen kann man viele wertvolle Ressourcen kaufen. Es gibt viele Methoden für Erhalten der Münzen. Auf welche Weise können die Münzen NICHT verdient werden?,Im Café können die Mädchen gegen Münzen umgetauscht werden,"Einfach beim Auto. Kampf warten. Je höher das Level der Runde ist, desto mehr Münzen kannst du bekommen.","Bei der Alchemie können die Münzen täglich einmal gratis gesammelt werden. Je höher dein Level ist, desto mehr Münzen kannst du bekommen."
