id,title,name,dialog,select_text
1,,,"Die Meeresbrise, die vom Wind über den Strand geweht wurde kitzelte in meiner Nase und das helle Sonnenlicht ließ den Strand in Goldtönen glitzern.",
2,,,"Egal wer diesen Anblick sah, würde diesen als erfrischend empfinden…außer ich.",
3,,,"Warum das so war, dafür musste man nur schauen, wie ich jetzt ausschaute und würde es verstehen——",
4,,,"Die Haut in meinem Gesicht war bereits von der Sonne gerötet, meine Augen, die ich bereits zusammen kniff, wurden dennoch von den hellen Sonnenstrahlen geblendet und ich war nicht sicher, ob die Flüssigkeit, die an meinem Körper herunterrann, Tränen oder Schweiß war.",
5,,,"Natürlich musste man nur umdrehen und ein kühles Plätzchen suchen, um dieser Lage zu entgehen.",
6,,,"…Aber dafür musste man in der Lage sein, einfach zu gehen.",
7,,,In diesem Moment näherte sich eine einige Zentimeter große Krabbe von der Seite und starrte mich mit ihren Stielaugen an.,
8,,,"Ich wollte gerade meine Hand heben, um sie zu verscheuchen, aber ich konnte meine Arme nicht bewegen.",
9,,,"…Ja genau, mein ganzer Körper unterhalb meines Nackens war im Sand vergraben. Nur der Kopf lugte heraus.",
10,,,Die Krabbe winkte mit ihren Scheren und kroch bedrohlich nahe heran.,
11,,,"Auch wenn es mit den bloßen Augen nur nach einem kleinen Tier aussah, aber in diesem Moment war es wie ein großes Monster, dass einen zur Verzweiflung brachte.",
12,,,Wie konnte es nur dazu kommen…,
13,,,——Ein Sommertag.,
14,,,Das heiße Sommerwetter lies die Schüler ohne Lust zu lernen oder zu trainieren. Um die Laune zu bessern und auch etwas auszuspannen——,
15,,,Plante das Studentenwerk einen Ferientrip ans Meer.,
16,,Esau,"Jakob, Jakob, schau! Das Meer!",
17,,Jakob,"Das Meer…das ist das erste Mal, dass ich es sehe.",
18,,Chevalier,"Hahaha, als ich es gerade gesehen habe, war ich auch sehr erstaunt. Ich hätte nicht gedacht, dass es eine Landschaft gibt, die weiter ist als Grasland.",
19,,Chevalier,"Ich hab gehört die Technik-Abteilung hat ein aufblasbares Gefährt, mit dem man auf dem Wasser fahren kann…Vielleicht können wir es uns ja nächstes Mal ausleihen.",
20,,*,…Die Technik-Abteilung hat ja wirklich einige merkwürdige Sachen entdeckt.,
21,,*,"Aber wo wir schon davon sprechen, es scheinen schon einige angekommen zu sein und sogar einen Laden eröffnet zu haben…",
22,,Chevalier,Es scheint ein Projekt des Studentenwerks zu sein. Der Laden ist von ihnen vorbereitet worden. Ich bin nur hier um zu helfen.,
23,,Hottie,"Okay, geht zuerst alle eure Kleidung wechseln. Wo wir einmal am Meer sind, sollten wir uns auch angemessen anziehen.",
24,,Anastasia,"Die Umkleiden sind ganz in der Nähe, folgt mir.",
25,,Fenek,"Ich richte schnell einen Zauber ein, um zu verhindern, dass Senpai heimlich schaut!",
26,,*,Wer würde sowas machen!,
27,,*,(Aber tatsächlich habe ich mich etwas darauf gefreut alle in Badeanzügen zu sehen…),
28,,*,(Mhm…ich denke ich kann erst eine Runde spazieren gehen),
29,,*,Ah…eine Wahrsagerin?,
30,,Amelia,Senpai…soll ich dir die Zukunft vorhersagen?,
31,,*,"Amelia…du bist also auch gekommen. Aber du scheinst deine Kristallkugel gar nicht mit dabei zu haben? Du kannst doch wohl nicht Sandkristalle verwenden, oder…?",
32,,Amelia,Das ist nicht wichtig. Es muss nur eine transparente Kugel sein. Nur das Ergebnis ist ein bisschen anders.,
33,,*,Wirklich?!,
34,,Amelia,Na dann fange ich mal an…,
35,,,Boom!,
36,,Amelia,…………,
37,,*,…………,
38,,,"Mit einem lauten Knall, explodierte der Wasserball.",
39,,*,Ah…alles okay?,
40,,Amelia,Senpai…du wirst heute vermutlich sehr wenig Glück haben…sei besser Vorsichtig…,
41,,Amelia,Ich sollte einen neuen Wasserball suchen gehen…,
42,,*,…………,
43,,,Das kontinuierliche Geräusch der Wellen ließ meine Gedanken immer verworrener werden.,
44,,,"Zu diesem Zeitpunkt wusste ich allerdings noch nicht, was auf mich wartet.",
45,,Anastasia,Was ist los? Was ist hier passiert?,
46,,*,"Ah, Anastasia…",
47,,*,…………,
48,,Anastasia,…Was starrst du mich so an? Hab ich was komisches im Gesicht?,Dein Badeanzug sieht sehr gut aus|Dein Badeanzug passt zu dir
49,,Anastasia,"Bist du ein Trottel? Wenn du hier nur herumträumst, dann hilf mir den Stand vorzubereiten.",
50,,*,"Du willst auch einen Laden aufmachen? Wie kommt es nur, dass wir am Meer sind, aber ich dennoch so harte Arbeit verrichten muss…",
51,,,Anastasia bereitete einen Essensstand vor. Das Studentenwerk stellte Materialien für Eis und eine Eismaschine zur Verfügung.,
52,,,Wirklich großzügig…ob das an Anastasia lag?,
53,,*,Puh…bin ich müde.,
54,,Anastasia,Danke für deine Hilfe.,
55,,*,Hast du das gemacht?,
56,,Anastasia,Wer sonst?,
57,,*,Mhm…ich hab das Gefühl die ganze Anstrengung hat sich gelohnt.,
58,,Anastasia,Ah…so ist das also. Na dann übertrag ich dir auch alle späteren Aufgaben?,
59,,*,"Nein, das ist nicht nötig…",
60,,Fenek,"Ah, wirklich selten, dass Senpai nicht faul herum liegt.",
61,,,Die anderen schienen auch ihre Kleidung gewechselt zu haben.,
62,,*,…………,
63,,Fenek,"Huh? Senpai, was faulenzt du dort?",
64,,*,Ähm…ich hab nur das Gefühl es gibt nichts Bestimmtes zu tun…,
65,,Fenek,"…Das klingt ein bisschen unhöflich, aber ich habe auch nichts zu entgegnen…",
66,,Fenek,"Egal, ich gehe und genieße etwas den Ausblick am Meer.",
67,,Fenek,"Anastasia, ich will auch ein Eis~！",
68,,Anastasia,"Haha, hier, für dich.",
69,,Fenek,"Du bist wirklich lieb. Senpai, achte darau, dass Anastasia sich nicht überarbeitet.",
70,,*,Wie kommt es dass niemand meine Arbeit anerkennt…,
71,,Turin,"Senpai! Schau, wie findest du meinen Badeanzug!",
72,,*,"Oh…er scheint ein bisschen anders als die der anderen zu sein, oder?",
73,,Turin,"Ich hab es selber gefunden! Ich hab gehört, es ist ein sehr beliebter Badeanzugstil unter Schülern!",
74,,*,"Gibt es in der Schule Material, um das zu recherchieren…?",
75,,Hexa,"Ja, ich hab das gleiche recherchiert.",
76,,Hexa,"Aber nachdem ich die Details geprüft hatte, habe ich gemerkt, dass der Veröffentlicher und die Datenquelle gelöscht wurden. Ich konnte sie auch nicht wieder herstellen…",
77,,Hexa,"Ich hatte das Gefühl, dass etwas verdächtiges in der Luft lag.",
78,,Turin,"Wenn du das so sagst, scheint mir das Material wirklich ein bisschen vertraut…",
79,,*,Ich glaub ich weiß wer es hochgeladen hat…,
80,,Turin,"Ah! Iron Fist ist auch gekommen! Schnell, schnell!",
