id,title,name,dialog,select_text
1,Schatzsuche,Fenek,Die Startpistole und die Pfeife sind bereit. Alles scheint in Position zu sein.,
2,,Fenek,Also der erste Wettkampf ist…eine Schatzsuche,
3,,Fenek,"Okay, Fenek, das ist dein erster Schritt zu einer großartigen Schiedsrichterin.",
4,,Fenek,"Okay, alle bitte hierher schauen. Ich werde jetzt die Regel der Schatzsuche verkünden.",
5,,Fenek,"Zuerst kommen alle Teilnehmer bitte her und ziehen ein Emblem. Auf dem Emblem seht ihr den Gegenstand, den ihr finden müsst.",
6,,Fenek,"Wenn ihr den Gegenstand gefunden habt und ihn erfoglreich über die Ziellinie getragen habt, gilt der Wettkampf als erfolgreich. Am Ende wird euer Rang auf der Zei, die ihr gebraucht habt, bestimmt.",
7,,Aquaris,"Fenek, kannst du uns denn wenigestens verraten, welche Gegenstände wir suchen müssen?",
8,,Fenek,"Das geht nicht, aber ich kann euch sagen, dass es eine weite Auswahl an Objekten auf den Emblemen gibt.",
9,,Fenek,"Wenn du keine gute Wahl triffst…kann es sein, dass du verloren bist.",
10,,Aquaris,"Ah! Wenn sie schon so spricht, dann muss es extrem schwierig sein.",
11,,Iron Fist,"Scheint, als ob wir alles geben müssten.",
12,,Fenek,"Bitte stellt euch hier an, um ein Emblem zu ziehen. Wenn alle gezogen haben, habt ihr noch 2 Minuten zur Vorbereitung.",
13,,Aquaris,Huh? Wie kann das sein. Erlaubt sich der Himmel etwa einen Spaß mit mir?,
14,,,Rief Aquaris als sie das von ihr gezogene Emblem begutachtete.,
15,,Iron Fist,Aquaris? Was ist los?,
16,,Aquaris,"Aquaris…ich kann diesen Wettkampf sicher nicht schaffen. Ich wünsche dir aber viel Glück, Iron Fist.",
17,,Hottie,"Aquaris du hast eigentlich Glück. Das ist etwas, was man sehr leicht bekommen kann.",
18,,Aquaris,"Hottie…auf meinem Emblem sind die Doppelklingen von Joan. Wieso sollte ich ""Glück"" haben, diese holen zu müssen",
19,,Aquaris,"Wenn ich daran denke, wie sie normalerweise drauf ist, läuft mir schon ein kalter Schauer den Rücken herunter.",
20,,Hottie,"Joan ist immer sehr ernst, aber diese Klingen…sie existieren.",
21,,Aquaris,"Meinst du damit etwa, es gibt einige Gegenstände auf diesen Emblemen, die gar nicht existieren?",
22,,Hottie,"Das ist nicht so wichtig, aber es wird sehr schwierig sein. Ich bin mir sicher du wirst es bald vom Gesichtsausdruck der anderen wissen.",
23,,,"Tatsächlich setzten alle Teilnehmer, die bereits ein Emblem gezogen hatten, ein besorgtes Gesicht auf.",
24,,Schülerin A,Huh? Ich soll die Augenmaske von Anastasia holen…das ist unmöglich…,
25,,Schülerin B,Das von mir ist viel schwerer. Ich soll Knospes Lieblingsblume besorgen…,
26,,Aquaris,"Wie Hottie bereits gesagt hat, bin ich nicht am schlechtesten dran…",
27,,Aquaris,"Iron Fist, was hast du gezogen?",
28,,Iron Fist,Ich glaube etwas relativ einfaches. Den Fächer von KongMing.,
29,,Aquaris,Da hast du wirklich Glück gehabt. Den kannst du bestimmt ohne große Mühe holen!,
30,,Iron Fist,Ja…ich glaube KongMing ist gerade dort auf der Tribüne.,
31,,Aquaris,Ich denke du wirst sicher die Siegerin werden…,
32,,Fenek,"Okay, ihr habt nun alle ein Emblem gezogen. Die Schatzsuche beginnt jetzt!",
33,,,"Nach dem Startschuss rennen die Mädchen alle in die Richtung los, die sie sich vorher überlegt haben Außer…Spahira, die ihren kleinen Fuchs im Arm hält.",
34,,,"Saphira, ohne die Absicht zu haben etwas auszuleihen, geht einfach über die Ziellinie.",
35,,Fenek,"Saphira, 58 Sekunden.",
36,,Schülerin A,Das kann doch nicht sein. Sie hat überhaupt nichts ausgeliehen…Sie hat den Wettkampf doch gar nicht abgeschlossen.,
37,,Fenek,"Saphiras Sieg entspricht den Regeln, da sie den Fuchs den sie ausleihen sollte in den Armen hält.",
38,,Schülerin B,Huh? Das ist ja wohl einfach zu viel Glück??,
39,,Schülerin B,"Fenek, ist das nicht Betrug…",
40,,Saphira,Ich hab unter Aufsicht aller Schiedsrichter das Emblem gezogen…wieso sollte das Betruf sein?,
41,,Schülerin A,"Saphira und Fenek sind vom gleichen Haus. Wer sagt denn, dass ihr das nicht geplant habt.",
42,,Saphira,So etwas würde ich nie tun und du solltest auch nicht so über Fenek reden. Sie ist eine hervorragende Schiedsrichterin.,
43,,Anastasia,Ich habe die Embleme in die Schale gelegt. Gibt es irgendwelche Zweifel?,
44,,Schülerin B,Ah? Anastasia?,
45,,Aquaris,"Ich hab irgendwie das Gefühl, die Temperatur ist gerade um 20 Grad gesunken.",
46,,Anastasia,"Saphira hat nicht anders gezogen als alle anderen auch. Auf ihrem Emblem war der Fuchs, den sie immer mit dabei hat.",
47,,Anastasia,"Es lag nur an Saphiras Glück, dass sie dieses gezogen hat.",
48,,Anastasia,"Wenn ihr dieses Emblem gezogen hättet, wäre es dann einfacher?",
49,,Anastasia,Deshalb hat dieses Emblem keinerlei Problem und sowas wie Betrug gibt es schonmal gar nicht.,
50,,Anastasia,"Anstatt die ganze Zeit auf andere zu schauen, wäre es besser sich auch sicher selber zu konzentrieren und das Spiel zuende zu bringen.",
51,,,"Noch während Anastasia sprach, kam Iron Fist, die den Fächer von KongMing hielt, über die Ziellinie gerannt.",
