id,desc
1,Schließe 1 Kampf im Test ab
2,Schließe 5 Kämpfe im Test ab
3,Spiele 6 Mal im täglichen Quiz
4,Gib 500 Dias aus
5,Logge dich für 5 Tage ein
6,Gib 2000 Dias aus
7,400 Züge am normalen Glücksautomaten
8,800 Züge am normalen Glücksautomaten
9,Verwende insgesamt 200 Super Kapselmünzen
10,Verwende insgesamt 500 Super Kapselmünzen
11,Verwende 40 Stempel
12,Verwende 80 Stempel
13,Erhalte 1 5-Sterne Mädchen
14,Erhalte 1 6-Sterne Mädchen
15,Verwende 1000 Elementarkugeln
16,Verwende 2000 Elementarkugeln
17,Verwende 30 Steuer
18,Verwende 75 Steuer
