id,title,name,dialog,select_text
1,Ein etwas anderer Valentinstag,,Einzelne Sterne blinken entlang der endlosen Milchstraße auf,
2,,Mädchen A,"Hast du schon gehört, dass man heute Nacht eine ganz besondere Sternenkonstellation am Himmel sehen kann? Wollen wir sie zusammen anschauen?",
3,,Mädchen B,"Hmm, nee, lass mal... Möchte lieber schlafen.",
4,,Mädchen A,"Echt? Ich hab gedacht, dass du dich darauf freuen würdest...",
5,,Mädchen B,"Naja, ich bin ja nicht so von Sternen besessen wie Viviane! Außerdem freue ich mich viel mehr auf den Schokoladen-Wettbewerb morgen!",
6,,Mädchen A,Was?! Machst du etwa auch mit?,
7,,Mädchen B,"Ja klar! Und ich möchte auch sehen, ob die anderen Kandidatinnen überhaupt was können!",
8,,Mädchen A,Du scheinst ja sehr zuversichtlich zu sein...,
9,,,"Yume Akademie, 13. Februar, 23:59",
10,,Mysteriöse Person A,"Puhh... Ich hätte nicht gedacht, dass diese Skye so schnell laufen kann... Scheint ja doch ganz interessant zu sein hier.",
11,,Mysteriöse Person B,"Jemand, der mit seinen Kräften nahezu eine ganze Bibliothek anheben kann, ist ja auch kein gewöhnlicher Mensch!",
12,,Mysteriöse Person A,"Beeil dich bitte ein bisschen. Ich glaube zwar nicht, dass sie uns bis hierhin gefolgt ist, aber... Wir wären schon lange weg, wenn du dich nicht mit ihr hättest duellieren müssen!",
13,,Mysteriöse Person B,Ja...,
14,,Große Glocke,Dong---,
15,,,Der Zeiger steht auf 12 Uhr. Das Glockenläuten verkündet den Beginn des Valentinstags.,
16,,Mysteriöse Person A,"Scheiße! Schnell, gehen wir!",
17,,Mysteriöse Person B,Müssen wir jetzt etwa hier teleportieren?!  Kev...,
18,,Mysteriöse Person A,"Puh, das war knapp... Beinahe wären wir da drin gefangen gewesen. Was ist das eigentlich für eine Energie hier...",
19,,Mysteriöse Person B,"Puh, das wir wirklich gefährlich! Beinahe hätten wir die wichtigste Schokolade fallen gelassen!",
20,,Mysteriöse Person A,"Das war ein guter Weckruf für dich! Und wie oft habe ich dir gesagt, dass du mich während der Aktion nicht bei meinem echten Namen nennen sollst?!",
21,,Mysteriöse Person A,Diese Yume Akademie scheint wirklich ein sehr interessanter Ort zu sein. Wir sollten bei Gelegenheit nochmal hier herkommen!,
22,,Mysteriöse Person B,"Hmm... Kev... Ähh, ich meine, ""K""... Mit ""interessant"" meinst du wirklich interessant oder gefährlich?",
23,,Mysteriöse Person A,"Naja, ich würde einfach nochmal gerne dort hingehen. Achso, hast du eigentlich vor dieser Angelegenheit hier unseren Ankündigungsbrief geschickt?",
24,,Mysteriöse Person B,Ähhhhhm...,
25,,Mysteriöse Person A,"Deinem Gesichtsausdruck nach zu schließen, hast du das vergessen... In Zukunft sollte ich diese Dinge wohl selber regeln.",
26,,Mysteriöse Person B,Tut mir leid---,
27,,Mysteriöse Person A,Jetzt mach nicht einen auf Unschuldslamm.,
28,,Mysteriöse Person B,"Tut mir echt leid, Kev----",
29,,Mysteriöse Person A,"Es reicht! Du brauchst dich nicht zu entschuldigen, das bringt eh nichts. Und hör auf, meinen Namen zu sagen. Gut, dass ich auf unserer Flucht dieser Skye noch eine Karte zuwerfen konnte. Ein wahrlich sehr ästhetischer Abgang eines Langfingers, nicht wahr?",
30,,Mysteriöse Person B,"(Ich würde das nicht Ankündigungsschreiben, sondern eher Bekennerschreiben nennen---)",
31,,Mysteriöse Person B,"Ja, ich weiß ja, dass es meine Schuld ist. Du brauchst mich nicht weiter zu belehren...",
32,,,Zur selben Zeit auf dem Sportplatz,
33,,Skye,Was zum Teufel haben die beiden da grade gemacht?,
34,,Skye,Und was ist das für eine Karte...?,
35,,Skye,"""Wir danken der verehrten Yume Akademie für ihr außerordentlich großzügiges Geschenk. Die Schokolade ist echt gut."" -- Die zwei Langfinger",
36,,Skye,.... Was? Dann waren das also doch nicht einfach nur ein paar harmlose Eindringlinge...,
37,,Skye,Wenn die Schokolade tatsächlich geklaut wurde... Dann flippt KongMing sicherlich aus...,
38,,Skye,Apropos ausflippen...,
39,,,...,
40,,,"Die Bücherei gleicht einem Schlachtfeld. Dort wo früher einmal die Regale ordentlich aufgereiht waren, finden man nur noch einzelne Bretter und Staub.",
41,,Skye,"Jap, Fenek und Librarian werden auf jeden Fall ausflippen.",
42,,Skye,Dann werde ich mich mal verziehen jetzt... Aus Sicherheitsgründen.,
43,,,"Yume Akademie, 14. Februar, 6:00",
44,,*,~,
45,,*,Ohje! Dass ich mal so früh aufstehe~ Warum nur~ Warum nur~♪,
46,,*,Weil endlich Valentinstag ist natürlich!! ♪♪♪,
47,,,Auch den Mädchen der Yume Akademie gefällt der Valentinstag (14. Februar) ganz besonders. Deshalb haben sie für diesen besonderen Tag ein paar Events organisiert. Das bekannteste unter diesen Events ist der von KongMing angeleitete Schokoladen-Wettbewerb. Jedes Jahr kommen sehr viele Mädchen und bringen ihre handgemachte Schokolade zu diesem Event.,
48,,*,"Ich bin wirklich gespannt, was für Schokoladen die Mädchen dieses Jahr präsentieren werden. Wenn ich nur daran denke, bin ich schon ganz aufgeregt~ Los geht's! ♪",
49,,*,.... Los geh....,
50,,*,"Was ist denn jetzt los? Awww, mein Kopf...",
