id,desc
1,Melde dich täglich an
2,Kraft d. Top6 Mädchen: {1}
3,Erhalte {1} VIP-EXP
4,Schließe das {1}. Kapitel im Abenteuer ab
5,{1} Züge an der Super Kapselmaschine
6,Schließe die {1}. Stufe im Test ab
7,Erreiche Lv.{1}
8,Kaufe {1} Mal im Markt
9,Beschenk das Mädchen {1} Mal
10,Intimität eines Mädchens erreicht {1}
11,Kämpfe {1} Mal in der Arena
12,Trete {1} Mal der Gilde bei
13,Kämpfe {1} Mal auf dem Sportplatz
14,Schließe {1} 4-Sterne Jobaufgaben ab
15,Schließe {1} 5-Sterne Jobaufgaben ab
16,Schließe {1} 6-Sterne Jobaufgaben ab
17,{1} Züge am normalen Glücksautomaten
18,{1} Züge am Super Glücksautomaten
19,Erhalte einen 1-Stern gelben Kristall
20,Erhalte einen 2-Sterne gelben Kristall
21,Erhalte einen 1-Stern lila Kristall
22,Erhalte einen 2-Sterne lila Kristall
23,Erhalte einen 3-Sterne lila Kristall
24,Erhalte einen 1-Stern grünes Kristall
25,Beschwöre {1} Mädel mit Fragmenten
26,Erhalte {1} 5-Sterne Mädchen
27,Erhalte {1} 6-Sterne Mädchen
28,Erhalte {1} 9-Sterne Mädchen
29,Level irgendeines Mädchens erreicht {1}
30,Erhalte {1} Sammlerpunkte
31,Benutze {1} Mal die Alchemie
