id,desc
1,Erreiche die Top 64 in der Ultimativen Arena
2,Erreiche die Top 8 in der Ultimativen Arena
3,Erreiche die Top 4 in der Ultimativen Arena
4,Werde der Champion der Ultimativen Arena
5,Werde 2 Mal der Champion der Ultimativen Arena
6,Werde 3 Mal der Champion der Ultimativen Arena
7,Werde 4 Mal der Champion der Ultimativen Arena
8,Werde 5 Mal der Champion der Ultimativen Arena
9,Werde 6 Mal der Champion der Ultimativen Arena
10,Werde 7 Mal der Champion der Ultimativen Arena
11,Werde 8 Mal der Champion der Ultimativen Arena
12,Werde 9 Mal der Champion der Ultimativen Arena
13,Werde 10 Mal der Champion der Ultimativen Arena
