id,title,text
1,Gratis Dias,"Arenen|Jobaufgaben|Täglichen Aufgaben|Level auf, um Dias zu erhalten|Erfolge erreichen"
2,Erhalte Münzen,Kampfausbeute|Tägliche Quiz - Münzen Quiz|Alchemie|Test-Drop|Tägliche Aufgaben|Glücksautomat|Praktische Arbeit - Praktikum
3,Erhalte Mädchen-Fragmente,Kampfausbeute|Tägliche Quiz - Mädchen-Quiz|Jobaufgaben|Test-Drop| Mädchenladen-Verkauf|Glücksautomat|Markteinkäufe|Einschreiben
4,Erhalte EXP Saft,Kampfausbeute|Tägliche Quiz - EXP-Quiz |Tägliche Aufgaben|Glücksautomat|Markteinkäufe
5,Erhalte Brotdosen,Kampfausbeute|Test-Drop|Tägliches Quiz - EXP Quiz|Zug am Glücksautomaten (vor Lv.60)|Markt|Übertragen
6,Erhalte Ausrüstung,Kampfausbeute|Test-Drop|Glücksautomat
7,Erhalte Kristallmeißel,Kampfausbeute (ab Runde 5-3)|Glücksautomat|Praktische Arbeit
8,Erhalte Antiquitäten,Kampfausbeute (ab Runde 9-9)|Glücksautomat
9,Erhalte Stempel,Event Item Austausch|6-7 Sterne Jobaufgaben\n(möglicherweise erhältlich)|Fest-Geschenk & Event-Paket|Markteinkäufe
10,Mädchen verbessern,Aufleveln & Erwecken|Absolvieren|Beschwören
11,Ausrüstung verbessern,"Synthetisieren|Sammle Sets, um Set-Attribute zu erhalten"
