id,desc
1,Schließe Kapitel 1 im Abenteuer ab
2,Synthetisiere 1 Mal\ndie Ausrüstung
3,Level 1 Mädchen\nauf Lv.30 auf
4,Füge einen Freund hinzu
5,Sende 1 Nachricht im Chat
6,Wechsel 1 Mal den Hintergrund
7,Spiele 1 Mal am normalen Automaten
8,Kämpfe 1 Mal in der Arena
9,Tritt in eine Gilde ein oder gründe eine Gilde
10,Erledige die 1. Stufe im Test
11,不顯示
12,Logge dich an 3 kont. Tagen ein
13,Schließe Kapitel 7 im Abenteuer ab
14,Erreiche Level 50
15,Level ein Mädchen\nauf Lv.100 auf
16,Verwende 10 Mal die Super Kapsel
17,Schreibe 1 Mal ein
18,Spiele 1 Mal im\nBuchheiligtum
19,Erledige die 10. Stufe im Test
20,Schließe 1 Mal die Jobaufgabe ab
21,不顯示
22,Verwende 1 Mal ein\nKostüm
23,Logge dich an 7 kont. Tagen ein
24,Schließe Kapitel 10 im Abenteuer ab
25,Erhalte ein 6-Sterne\nMädchen
26,Spiele 10 Mal am\nSuper Automaten
27,Kämpfe 1 Mal in der\nElite Arena
28,Kämpfe 1 Mal in der\nElite Liga
29,Schließe irgendeine\nMädchen-Aufgabe ab
30,Erhalte 1 Diener
31,Kämpfe 1 Mal in Patrouille
32,不顯示
33,Schließe Kapitel 5 im Abenteuer ab
