id,name
1,Frühlingsfest
2,Schlafanzüge
3,Winteranzüge
4,Drachenbootfest
5,Kindliche Freude
6,Osterfest
7,Thanksgiving
8,Mafia City
9,Die andere Seite
10,Elfen der Natur
11,Kampfanzüge
12,Schultage
13,Prüferinnen
14,Magical Girls
15,Dienstmädchen
16,Sonstiges
17,Ostasiatischer Stil
18,Valentinstag
19,Goldener Herbst
20,Rennanzüge
21,Duft der Blumen
22,Weihnachtsnacht
23,Ewiger Eid I
24,Ewiger Eid II
25,Ewiger Eid III
26,Ewiger Eid IV
27,Ewiger Eid V
28,Märchenwelt
29,Bunny Girls
30,Halloween
31,Musikfest
32,Sakura Festival
33,Badeanzüge I
34,Badeanzüge II
35,Badeanzüge III
36,Aprilscherz
37,Thermalbad
38,Sportanzüge
39,Steampunk
40,Jubiläumsfeier
41,Japanisches Neujahr
42,Debüt der Idole
43,Badeanzüge IV
44,Maritimes Abenteuer
45,Bis hin zur Tiefsee
46,Exotische Schönheit
