id,contents,title
1,"Senpai, deine Belohnungen in Auto.-Kampf sind voll! Komm und sammle deine Beute!",Beute Sammeln
2,"Kostenlose Super Kapsel, Senpai! Komme und versuche dein Glück!",Gratis Kapsel!
3,"Senpai, die Alchemie ist jetzt verfügbar! Sammel jetzt deine Münzen!",Alchemie wieder verfügbar!
4,"Senpai, du hast noch nicht deine täglichen Belohnungen gesammelt!",Questbelohnung
5,"Die Patrouille ist jetzt verfügbar, Senpai! Lass uns Gerechtigkeit in die Traum Akademie bringen~",Die Patrouille ist jetzt verfügbar!
6,Senpai! Du hast eine neue Mail!,Neue Mail
7,Senpai! Du hast eine Antwort vom GM erhalten!,GM Antwort
8,"Senpai, es ist an der Zeit, Belohnungen zu sammeln!",Belohnungen sammeln!
9,"Senpai, du kannst jetzt Wandern gehen! Lass deine Mädchen jetzt den Weg erkunden!",Wandern ist jetzt möglich!
10,Senpai! Ein neues Mädchen kannst du absolvieren lassen! Schauen wir es uns Mal an.,
21,"Senpai, du musst deine Belohnungen beim Campusausflug einsammeln!",Belohnung im Campusausflug
22,"Senpai, die Schatzboxen des Campusausflugs können jetzt gratis geöffnet werden!",Schatzbox des Campusausflugs
23,Glückwunsch! Du bist in der Ultimativen Arena eine Runde weitergekommen! Komm und stell dein Team auf~,Ultimative Arena
24,"Senpai, die Qualifikationsphase in der Ultimativen Arena geht bald zu Ende. Komm und sicher dir deine letzten Punkte!",Ultimative Arena
