id,artifact_name,artifact_desc
6206,Engelsstab,Erhöht den Schaden und den Angriff gegenüber Krieger. Mit dieser Antiquität ausgestattet werden großartige Resultate gegen Krieger erzielt.
6207,Flammenfeder,Erhöht den Schaden und den Angriff gegenüber Mördern. Mit dieser Antiquität ausgestattet werden großartige Resultate gegen Mörder erzielt.
6208,Dämonische Klinge,Erhöht den Schaden und den Angriff gegenüber Rangern. Mit dieser Antiquität ausgestattet werden großartige Resultate gegen Ranger erzielt.
6209,Blitz-Rune,Erhöht den Schaden gegenüber Magiern und den Angriff. Mit dieser Antiquität ausgestattet werden großartige Resultate gegen Magier erzielt.
6210,Mutiges Herz,Erhöht den Schaden und den Angriff gegenüber Priestern. Mit dieser Antiquität ausgestattet werden großartige Resultate gegen Priester erzielt.
6211,Spitzen-Strumpf,"Erhöht die Geschwindigkeit. Sichert, dass man selber zuerst angreifen kann; \nErhöht die HP. Sichert die eigene Überlebenswahrscheinlichkeit."
6212,Kirschblüten,"Erhöht Angriff und Präzision, Erhöht die Angriffskraft."
6213,Tanzende Maske,Erhöht die Verringerung der Verletzungswahrscheinlichkeit und die HP. Sichert eigene Überlebenswahrscheinlichkeit.
6214,Königin des Pokers,Erhöht den Schaden und den Angriff gegenüber Kriegern. \nWenn das Mädchen zum Geisterhaus gehört wird auch der Rüstungsbruch erhöht.
6215,Axt des Schnees,"Erhöht den Schaden und den Angriff gegenüber Mördern. \nWenn das Mädchen zum Geisterhaus gehört, wird auch die HP erhöht."
6216,Weihnachtsbaum,"Erhöht den Schaden und den Angriff gegenüber Rangern. \nWenn das Mädchen zum Geisterhaus gehört, wird auch die Angriffskraft erhöht."
6217,Donnerherz,"Erhöht den Schaden und den Angriff gegenüber Magiern. \nWenn das Mädchen zum Menschenhaus gehört, wird auf die HP erhöht."
6218,Supertrank,"Erhöht den Schaden und den Angriff gegenüber Priestern. \nWenn das Mädchen zum Menschenhaus gehört, wird auch die Angriffskraft erhöht."
6219,Seelenanhänger,"Erhöht den Schaden und den Angriff gegenüber Priestern. \nWenn das Mädchen zum Menschenhaus gehört, wird auch der Fähigkeitssschaden erhöht."
6220,Gabriels Lied,"Erhöht den Schaden und den Angriff gegenüber Kriegern. \nWenn das Mädchen zum Monsterhaus gehört, wird auf die HP erhöht."
