id,desc
1,Tank
2,Frontkämpfer
3,Schadensverteiler
4,Kontrolle
5,Unterstützung
6,Heiler
7,Überlebende
8,Regeneration
9,Überraschender Angriff
10,AoE
11,Stapelbarkeit
12,Kern
13,Kooperation
14,Opfer
15,Selbstbombadierung
16,Vielseitig
17,Stabil
18,Beherrschend
19,Geschwindigkeit
20,Buff
21,Gegenangriff
22,Wachstum
23,Erntemaschine
24,Unbesiegbar
25,Ausdauer
26,Flexibel
27,Auferstehen
28,Gute Figur
29,Lolita
30,Süß
31,Speziell
32,Schöne Stimme
33,Sexy
34,Meine Frau!
35,Schweigsam
36,Sanft
37,Meine Göttin!
38,Die Süßeste!
