id,text,comment
8032,Dieser Name existiert bereits!,
1101,Enthält ungültige Zeichen,
9001,"Verbindung zum Server fehlgeschlagen, bitte versuche es erneut!",
6001,,
6003,Seine/Ihre Freundeliste ist voll,
6004,Dieser Spieler existiert nicht.,
6005,,
6006,Der Spieler ist bereits deiner Freundesliste.,
6007,Dieser Spieler befindet sich nicht auf diesem Server,
6008,Keine Mannschaft in der Arena,
6101,Der Spieler ist einer anderen Gilde beigetreten,
6102,Der Gildenname wurde bereits vergeben,
6103,Diese Gilde existiert nicht,
6010,Enthält ungültige Zeichen,
9002,Dieses Konto wurde auf einem anderen Gerät angemeldet!,
9003,Dieser Account ist gesperrt!,
6011,Der Teamname existiert bereits!,
6012,Das Team existiert nicht,
6013,Keine freien Plätze verfügbar,
6014,Der Spieler ist bereits in einem Team,
6015,BOSS wurde getötet,
6016,Keine passende Gilde gefunden,
6017,Deine Gilde ist bereits registriert,
6018,Das Team hat bereits in einer anderen Gilde gespielt,
6019,Die Registrierung für den Gildenkampf hat das maximale Limit erreicht.,
6020,Du wurdest verboten Kommentare zu verfassen!,
6021,Du wurdest vom Chat ausgeschlossen.,
6022,Dein Beuteteam hat nicht genug Kraft,
6023,Der Geschenkcode existiert nicht. Bitte überprüfe es nochmal und versuche es erneut.,
6024,Der Geschenkcode wurde bereits benutzt und kann nicht erneut verwendet werden.,
6025,Der Geschenkcode wurde bereits benutzt und kann nicht erneut verwendet werden.,
6026,Trupp aufgelöst,
6027,Kann während eines Sicherheitsvorgangs nicht verlassen,
6028,Kann während eines Sicherheitsvorgangs nicht eingeladen werden,
6029,Kann während eines Sicherheitsvorgangs nicht entfernt werden,
6030,Die Anzahl der für diese Woche gesperrten Spieler hat ihr Limit erreicht,
6031,Du hast dein Wochen-Limit erreicht! Du kannst keinem Team mehr beitreten!,
6032,Der Spieler hat das Wochen-Limit erreicht! Kann keinen Teams mehr beitreten!,
6033,Das Team ist voll!,
6034,Der Spieler ist bereits in einem anderem Team.,
6035,Kann während des Sicherheitsvorgangs nicht genehmigt werden,
6036,Der Spieler kann zurzeit nicht deinem Team beitreten,
6037,Mögliche Software von Drittanbietern erkannt. Bitte kontaktiere den Kundensupport!,
6038,Speichern des Möbelsets fehlgeschlagen,
6039,Das Mitglied in deinem Sicherheitstrupp kann nicht gelöscht werden,
6040,In 24 Stunden nach dem Austritt der Gilde kannst du nicht den Gilden Boss herausfordern,
6041,In kurzer Zeit kannst du nicht den selben Spieler mehrmals herausfordern.,
6042,Kaufe dir zuerst die Energie-Karte,
6043,Seine Freundeanfragen sind voll. Deine Anfrage kann nicht gesendet werden.,
6044,Der Spieler hat bereits einen Partner gefunden.,
6045,Der Spieler hat nicht am Event teilgenommen.,
6046,Der Spieler ist nicht aktiv genug.,
6047,Herausforderungen bereits abgeschlossen. Keine Möglichkeit weiter herauszufordern.,
6048,Die Erstellungszeit von diesem Konto erfüllt die Anforderungen nicht.,
6049,Speichern der Aufstellung fehlgeschlagen,
6050,Die Belohnungen werden abgerechnet. In der Zwischenzeit kannst du nicht herausfordern!,
6051,"Schließe Runde 1-11 ab, um diesen Geschenkcode zu nutzen.",
6052,Keine Herausforderungsmale mehr,
6053,Das Limit an Herausforderungen gegen den Boss wurde erreicht.,
6054,Deine Kampfkraft ist zu niedrig für diese Gilde!,
6055,Die Menge der Freunde dieses Spielers hat das Limit erreicht. Bewerben fehlgeschlagen.,
6056,Du musst zunächst ein 10-Sterne Mädchen haben!,
6057,Ungültiger Einladungscode,
