id,name,desc,memory_name,memory_desc
1,Kapitel 1,Eröffnungsfeier,Kapitel 1,Eröffnungsfeier
2,Kapitel 2,Fröhliches Schulleben?,Kapitel 2,Fröhliches Schulleben?
3,Kapitel 3,Chaos in der Nacht,Kapitel 3,Chaos in der Nacht
4,Kapitel 4,"Feuerwerk, Wünsche, DEF",Kapitel 4,"Feuerwerk, Wünsche, DEF"
5,Kapitel 5,Zwischenprüfung,Kapitel 5,Zwischenprüfung
6,Kapitel 6,Schulfest,Kapitel 6,Schulfest
7,Kapitel 7,DEF,Kapitel 7,DEF
8,Kapitel 8,Blutmond,Kapitel 8,Blutmond
9,Kapitel 9,Traum,Kapitel 9,Traum
10,Kapitel 10,Ein neuer Anfang,Kapitel 10,Ein neuer Anfang
11,Kapitel 11,Willkommen zurück,Kapitel 11,Willkommen zurück
12,Kapitel 12,Labyrinth und Kristalle,Kapitel 12,Labyrinth und Kristalle
13,Kapitel 13,Die Walküre,Kapitel 13,Die Walküre
14,Kapitel 14,Schlechtes Blut,Kapitel 14,Schlechtes Blut
15,Kapitel 15,Das Ritual,Kapitel 15,Das Ritual
16,Kapitel 16,Die grausame Wahrheit,Kapitel 16,Die grausame Wahrheit
17,Kapitel 17, ,Kapitel 17, 
18,Kapitel 18, ,Kapitel 18, 
19,Kapitel 19, ,Kapitel 19, 
20,Kapitel 20, ,Kapitel 20, 
21,Kapitel 1,Eröffnungsfeier,Kapitel 1,Eröffnungsfeier
22,Kapitel 2,Fröhliches Schulleben?,Kapitel 2,Fröhliches Schulleben?
23,Kapitel 3,Chaos in der Nacht,Kapitel 3,Chaos in der Nacht
24,Kapitel 4,"Feuerwerk, Wünsche, DEF",Kapitel 4,"Feuerwerk, Wünsche, DEF"
25,Kapitel 5,Zwischenprüfung,Kapitel 5,Zwischenprüfung
26,Kapitel 6,Schulfest,Kapitel 6,Schulfest
27,Kapitel 7,DEF,Kapitel 7,DEF
28,Kapitel 8,Blutmond,Kapitel 8,Blutmond
29,Kapitel 9,Traum,Kapitel 9,Traum
30,Kapitel 10,Ein neuer Anfang,Kapitel 10,Ein neuer Anfang
31,Kapitel 1,Eröffnungsfeier,Kapitel 1,Eröffnungsfeier
32,Kapitel 2,Fröhliches Schulleben?,Kapitel 2,Fröhliches Schulleben?
33,Kapitel 3,Chaos in der Nacht,Kapitel 3,Chaos in der Nacht
34,Kapitel 4,"Feuerwerk, Wünsche, DEF",Kapitel 4,"Feuerwerk, Wünsche, DEF"
35,Kapitel 5,Zwischenprüfung,Kapitel 5,Zwischenprüfung
36,Kapitel 6,Schulfest,Kapitel 6,Schulfest
37,Kapitel 7,DEF,Kapitel 7,DEF
38,Kapitel 8,Blutmond,Kapitel 8,Blutmond
39,Kapitel 9,Traum,Kapitel 9,Traum
40,Kapitel 10,Ein neuer Anfang,Kapitel 10,Ein neuer Anfang
41,Kapitel 1,Eröffnungsfeier,Kapitel 1,Eröffnungsfeier
42,Kapitel 2,Fröhliches Schulleben?,Kapitel 2,Fröhliches Schulleben?
43,Kapitel 3,Chaos in der Nacht,Kapitel 3,Chaos in der Nacht
44,Kapitel 4,"Feuerwerk, Wünsche, DEF",Kapitel 4,"Feuerwerk, Wünsche, DEF"
45,Kapitel 5,Zwischenprüfung,Kapitel 5,Zwischenprüfung
46,Kapitel 6,Schulfest,Kapitel 6,Schulfest
47,Kapitel 7,DEF,Kapitel 7,DEF
48,Kapitel 8,Blutmond,Kapitel 8,Blutmond
49,Kapitel 9,Traum,Kapitel 9,Traum
50,Kapitel 10,Ein neuer Anfang,Kapitel 10,Ein neuer Anfang
