id,name,remark,desc,is_guide,level
1,Markt,Markt,,,0
2,Mädchen,Mädchen,,,0
3,Rucksack,Rucksack,,,0
4,Quiz,Quiz,,,0
5,Erfolge,Erfolge,,,0
6,Synthetisieren,Synthetisieren,,,0
7,Aufladen,Aufladen,,,0
8,Übertragen,Übertragen(Schulwechsel),,,0
9,Absolvieren,Fortschritt,,,0
10,Kapsel,Kapsel,,,0
11,Glücksautomat,Glücksautomat,Erhalte reiche Belohnungen\nam Glücksautomaten,1,14
12,Super Glücksautomat,Super Glücksautomat,,,80
13,Buch der Illusion,Buch der Illusion,Schließe für reichhaltige\nBelohnungen die Aufgaben ab!,1,17
14,Arena,Arena,"Kämpfe gegen andere Spieler in der\nArena, um mehr Belohnungen zu erhalten!",1,18
15,Test,Test,Im Test warten tolle\nBelohnungen auf dich.,1,24
16,Einschreiben,Einschreiben,Beschwöre die Mädchen in\neiner bestimmten Fraktion.,1,25
17,Jobs,Jobs,"Sende deine Mädchen zur Arbeit,\num Belohnungen zu erhalten.",1,28
18,Buchheiligtum,Buchheiligtum,Die Kämpfe der Vergangenheit,,40
19,Patrouille,Patrouille,Beseitigt die Chaos-Monster,,72
20,Mail,Mail,,,0
21,Freunde,Freunde,,,0
22,Gilde,Gilde,Erstelle oder tritt einer Gilde bei\nund kämpfe mit deinen Freunden!,1,21
23,Elitearena,Teamarena,Zeige deine königliche Kraft!,,50
24,Kostüm,Kostüm,Hier kannst du dir die neuen\nKostüme der Mädchen ansehen,,29
25,Eliteliga,Eliteliga,Bilde Teams mit deinen Freunden\nund kämpft für die Ehre,,60
26,Manga,Manga,Lerne interessanten Geschichten\nder Mädchen kennen,,30
27,Geschichte,Geschichte,,,0
28,Diener,Diener,Das Zähmen und Trainieren von\nDienern kann dein Team verstärken.,1,70
29,Quiz,Quiz,Tägliches Quiz,,20
30,Limitierte Events,Limitierte Events,,,0
31,Mädchen-Aufgabe,Mädchen-Aufgabe,"Nimm Herausforderungen an, um\nmehr über die Mädchen zu erfahren",,75
32,Sicherheitstrupp,Sicherheitstrupp,Kämpft zusammen gegen den Chaoslord,,90
33,Hintergrund ändern,Hintergrund ändern,,,0
34,Ultimative Arena,Ultimative Arena,Werde Champion beim serverübergreifenden Wettbewerb!,,90
35,Prüfung,Prüfung,Stärke deine Mädchen der jeweiligen\nFraktionund hol dir den Sieg!,,90
36,Gilde,Gilde,Erstelle oder tritt einer Gilde bei\nund kämpfe mit deinen Freunden!,1,21
37,Anleitung,,,,
38,Seele,,,,
39,Alter Campus,Alter Campus,"Wähle passende Projekte, um\nden alten Campus zu erkunden!",1,88
40,Campusausflug,Campusausflug,Lass uns beim Campusausflug\ngemeinsam Neues entdecken!,1,78
41,Chat,Chat,Chatte mit den anderen Spielern\nund finde neue Freunde!,,999
45,Outfit,Outfit,Gestalte dein individuelles Outfit im Ankleideraum,1,0
47,Korridore der Zeit,Korridore der Zeit,Schaue die Erinnerungen an und entdecke\ndie Geheimnisse in den Korridoren.,1,0
48,Schaufenster,Schaufenster,Präsentiere deine Outfits in den Schaufenstern\nund bestimme die neuen Trends auf dem Campus!,1,0
49,Tsuruga Schrein,Tsuruga Schrein,Bestehe die Prüfung und empfange den Segen der Götter!,1,0
50,Spielassistent,Spielassistent,Mach dein Leben auf dem Campus noch einfacher!,1,0
51,Altar unter Sternen,Altar unter Sternen,Folge den Sternen und such die Spur der Mädchen der Meteore-Fraktion!,1,0
52,Kostümgarderobe,Kostümgarderobe,Neue Kostüme machen deine Mädchen schöner und stärker!,1,0
53,Reserve-Team,Reserve-Team,"Stelle vorher verschiedene Teams auf, um unterschiedliche Gegner zu bekämpfen!",1,0
54,Wachstums-\ntagebuch,Wachstumstagebuch,"Jeder Fortschritt, den du im Spiel gemacht hast, wird mit reichhaltigen Ressourcen belohnt!",1,0
55,Reise durch die Galaxis,Reise durch die Galaxis,Erkunde die Planeten in der Galaxis für reichhaltige Belohnungen!,1,0
43,Praktische Arbeit,Praktische Arbeit,"Fordere die Gegner heraus, um noch mehr Belohnungen zu gewinnen!",1,0
