id,desc
1001,Erkunde in dieser Saison insgesamt {1} Feld(er)
1002,Erkunde das Ende auf dem {1}. Planeten
1003,Besiege in dieser Saison {1} Elite Gegner
1004,Öffne in dieser Saison {1} Versorgungskiste(n)
1005,Besiege in dieser Saison {1} Mal die Galaxis-Piraten
1006,Erkundungsfortschritt eines beliebigen Planeten erreicht {1}%%
1007,Besiege in dieser Saison {1} normale Gegner
1008,Besiege in dieser Saison {1} Gebieter
1009,Erkunde in dieser Saison {1} mystische Planeten
1010,Besiege in dieser Saison einen Ewigen Gebieter auf Lv.{1} (Schwierigkeitsgrad)
