id,desc,mask_icon,icon_offset,mask_icon_h5,icon_offset_h5
1,"Herzlich willkommen an der [c][d76500]Yume Akademie[-][/c]!\n\nHeute ist dein erster Tag hier. Komm, wir schauen uns den Campus an!",,,,
2,Folge mir auf dem Rundgang über den Campus!,,,,
3,"Hier!\nSenpai, zum [c][d76500]Abenteuer[-][/c] geht es hier entlang~",buttoncrop_2,0|0,buttoncrop_2_h5,0|-4
4,"Ups, da ist ein Hündchen, der die Bienen verärgert hat. Senpai, lass uns zuerst das Hündchen retten!",buttoncrop_26_h5,0|0,,
5,,buttoncrop_6,0|0,,
6,,buttoncrop_5,0|0,,
7,Schauen wir jetzt woanders auf dem Campus nach~ Hier geht es zu den [c][d76500]Kapseln[-][/c].,buttoncrop_1,0|0,,
8,Mit der [c][d76500]Normalen Kapselmaschine[-][/c] kann man die meisten Mädchen erhalten (1-5 Sterne).\nJedoch werden hierfür [c][d76500]Normale Kapselmünzen[-][/c] benötigt!,,,,
9,"Du hast Glück, Senpai! Es gibt eine Gratisrunde!",buttoncrop_4,0|0,,
10,,,,,
11,Mit der [c][d76500]Super Kapselmaschine[-][/c] kannst du [c][d76500]stärkere[-][/c] Mädchen bekommen (3-5 Sterne). Sie akzeptiert [c][d76500]Dias[-][/c] oder [c][d76500]Super Kapselmünzen[-][/c]~,,,,
12,Hah! Auch hier gibt es eine Gratisrunde!,buttoncrop_6,0|0,,
13,,,,,
14,,buttoncrop_1,0|0,,
15,Toll~ Das mit den Kapselmaschinen hast du verstanden. Konzentrieren wir uns nun auf das [c][d76500]Abenteuer[-][/c]~,,,,
16,"Hier! Senpai, zum [c][d76500]Abenteuer[-][/c] geht es hier entlang~",buttoncrop_2,0|0,buttoncrop_2_h5,0|-4
17,"Ohh! Der [c][d76500]Kampf[-][/c] ist eröffnet!\nSenpai, lass uns mal nachsehen!",buttoncrop_17,0|0,,
18,Zuerst musst du deine Mädchen auswählen~,buttoncrop_3,0|0,,
19,,buttoncrop_3,0|0,,
20,Bist du bereit?\nDann lass uns kämpfen~,buttoncrop_5,0|0,,
21,"Jedes Mädchen gehört zu einer [c][d76500]Fraktion[-][/c]~  Jede Fraktion hat einen [c][d76500]Rivalen[-][/c], gegen welchen sie besonders stark ist. Tippe auf den Button unten links, um zu sehen, wie es funktioniert!",,,,
22,,friend_team_boss_crop5,0|0,,
23,,,,,
24,,,,,
25,"Hey Senpai, du hast einige [c][d76500]Fragmente[-][/c] gesammelt! Gehe auf die Mädchen-Seite, um sie zusammenzusetzen~",buttoncrop_1,0|0,,
26,"Senpai, hier kannst du [c][d76500]Fragmente synthetisieren[-][/c]~",buttoncrop_38,0|2,,
27,Mit genug Fragmenten kannst du das Mädchen beschwören~,,,,
28,,,,,
29,,,,,
30,,,,,
31,Ah~ Die Mädchen müssen stärker werden!,buttoncrop_1,0|0,,
32,Hier~ Tippe auf [c][d76500]Schule[-][/c],buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
33,"Senpai, lass uns die Funktion [c][d76500]Übertragen[-][/c] anschauen!",buttoncrop_9,0|-1,,
34,"Beim Übertragen tauschst du Mädchen, die du nicht benötigst, gegen [c][d76500]EXP-Saft[-][/c]. Dieser Saft wird benötigt, um deine Mädchen aufzuleveln.",,,,
35,"Wähle ein Mädchen aus, das du übertragen willst!",buttoncrop_3,0|0,,
36,,buttoncrop_19,0|0,,
37,,,,,
38,Großartig! Lass uns nun ein Mädchen [c][d76500]aufleveln[-][/c].,buttoncrop_1,0|0,,
39,,buttoncrop_10,0|0,,
40,"Wenn du genug EXP Saft hast, dann tippe hier, um deine Mädchen aufzuleveln.",,,,
41,Wow~ Nochmal!,,,,
42,"Senpai, du bist echt clever! Noch einmal!",,,,
43,Deine Mädchen sind jetzt stärker! Lass es uns ein letztes Mal versuchen~,,,,
44,"Jetzt ist es Zeit, dass wir ihr [c][d76500]Ausrüstung[-][/c] anzuziehen~",buttoncrop_11,0|0,,
45,Tippe auf ein Waffensymbol und wähle deine Waffe aus~,buttoncrop_12,0|0,,
46,,,,,
47,,,,,
48,"Wow, großartig! Dein Mädchen ist nun noch stärker!",,,,
49,,buttoncrop_13,0|0,,
50,,buttoncrop_1,0|0,,
51,Das Hündchen macht sich schon wieder an den Bienen zu schaffen. Gehen wir dorthin kurz mal gucken~,buttoncrop_2,0|0,buttoncrop_2_h5,0|-4
52,,buttoncrop_26_h5,0|0,,
53,,buttoncrop_6,0|0,,
54,,buttoncrop_5,0|0,,
55,"Unser Abenteuer geht weiter~ Tippe hier, um zum nächsten Gebiet zu gelangen~",buttoncrop_20,-16|0,,
56,,,,,
57,Sammle hier die Beute des Auto-Kampfes ein~,buttoncrop_21,0|2,,
58,Lass uns einen neuen Kampf beginnen~,buttoncrop_17,0|0,,
59,"Tippe auf den Avatar des Mädchens, das du zu deiner Aufstellung hinzufügen möchtest.",buttoncrop_3,0|0,,
60,Du kannst durch [c][d76500]Ziehen[-][/c] die Position der Mädchen ändern~,buttoncrop_22,0|-62,,
61,,buttoncrop_5,0|0,,
62,,,,,
63,"Wow, du hast schon wieder einiges an Beute gesammelt~",buttoncrop_21,0|2,,
64,Herzlichen Glückwunsch! Du kannst zur nächsten Runde gehen~,buttoncrop_20,-16|0,,
65,,,,,
66,"Super, Senpai! Aber denke daran, deine Beute einzusammeln. Der Auto-Kampf hat ein Zeitlimit von [c][d76500]12 Stunden[-][/c]. Danach sammelt sich keine Beute mehr an.",,,,
67,"Auf der [c][d76500]Startseite[-][/c] hat sich etwas getan. Senpai, lass uns nachschauen gehen~",buttoncrop_1,0|0,,
68,Sammel die [c][d76500]Online-Belohnung[-][/c] im [c][d76500]Neulings-Event[-][/c] ein~,buttoncrop_15,0|0,buttoncrop_14_h5,0|0
69,"Tippe hier, um deine [c][d76500]Online-Belohnungen[-][/c] einzusammeln~",buttoncrop_35,0|0,,
70,,buttoncrop_1,0|0,,
71,Sammle die täglichen [c][d76500]Login-Belohnungen[-][/c] ein~,buttoncrop_15,0|0,buttoncrop_15_h5,4|2
72,,buttoncrop_36,1|1,,
73,Auf der [c][d76500]Startseite[-][/c] gibt es noch mehr tolle Dinge~,buttoncrop_1,0|0,,
74,"Schau nach, welche [c][d76500]Belohnungen[-][/c] du noch in der [c][d76500]Schule[-][/c] findest~",buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
75,Lass uns zur belebten [c][d76500]Einkaufsstraße[-][/c] gehen~,buttoncrop_16,0|1,,
76,Auf dem [c][d76500]Markt[-][/c] gibt es eine große Auswahl!,buttoncrop_30,-14|-1,,
77,Wow! Die [c][d76500]Super Kapselmünzen[-][/c] sind jetzt im Sale! Du bist ein Glückspilz Senpai~ Du solltest zugreifen!,buttoncrop_24,0|60,,
78,,,,,
79,,,,,
80,Versuchen wir nun deine [c][d76500]Münze[-][/c] zu verwenden.,buttoncrop_1,0|0,,
81,Lass uns mit der [c][d76500]Super Kapselmünze[-][/c] an der Super Kapselmaschine drehen! Versuchen wir unser Glück~,buttoncrop_6,0|1,,
82,,,,,
83,Ohje! Wir kommen zu spät~,buttoncrop_1,0|0,,
84,"Senpai, hast du Hundegebell gehört? Wie ein frecher Hund!",buttoncrop_2,0|0,buttoncrop_2_h5,0|-4
85,Lass uns das Hündchen nochmal retten~,buttoncrop_26_h5,0|0,,
86,,buttoncrop_6,0|0,,
87,,buttoncrop_5,0|0,,
88,,buttoncrop_17,0|0,,
89,,buttoncrop_3,0|0,,
90,,,,,
91,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
92,,,,,
93,,,,,
94,,buttoncrop_26,0|0,buttoncrop_26_h5,0|0
95,,,,,
96,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
97,,,,,
98,,,,,
99,"Hier~ Tippe auf [c][d76500]Gilde[-][/c], um einer Gilde beizutreten oder eine zu erstellen~",,,,
100,,,,,
101,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
102,,,,,
103,,,,,
104,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
105,,,,,
106,,,,,
107,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
108,,,,,
109,,,,,
