id,show_word
1,Samurai
2,Calista
3,Ashely
4,Kitsune
5,Zoro
6,Chevalier
7,Dracula
8,Librarian
9,Omega
10,Guan Yin
11,Odanna
12,Amelia
13,Pandaria
14,Knospe
15,Nia
16,Wu Kong
17,Saphira
18,Amazone
19,Himoto
20,Chevalier
21,Gabriel
22,Minos
23,Javelin
24,Toyo
25,Librarian
26,Guan Yin
27,Diana
28,Himoto
29,Amelia
30,Gabriel
31,Gabriel
32,Minos
33,Javelin
34,Toyo
35,Librarian
36,Nia
37,Odanna
38,Javelin
39,Gabriel
40,Zoro
41,Nia
42,Minos
43,Guan Yin
44,Himoto
45,Toyo
46,Pandaria
47,Diana
48,Priesterin
49,Amelia
50,Lucifer
51,Librarian
52,Hexa
53,Saphira
54,Sakura
55,Sonya
56,Javelin
57,Diana
58,Priester
59,Lucifer
60,Phönix
61,Dire
