id,name,desc
1,Kapitel 1,Eröffnungsfeier
2,Kapitel 2,Fröhliches Campusleben
3,Kapitel 3,Chaos in der Nacht
4,Kapitel 4,"Feuerwerk, Wünsche, DEF"
5,Kapitel 5,Zwischenprüfung
6,Kapitel 6,Schulfest
7,Kapitel 7,DEF
8,Kapitel 8,Blutmond
9,Kapitel 9,Traum
10,Kapitel 10,Ein neuer Anfang
11,Kapitel 1,Willkommen zurück
12,Kapitel 2,Labyrinth und Kristalle
13,Kapitel 3,Göttin des Krieges
14,Kapitel 4,Hass aus alter Zeit
15,Kapitel 5,Das Ritual
16,Kapitel 6,Die grausame Wahrheit
17,Kapitel 1,Reise zur heißen Quelle
18,Kapitel 2,Rote Schatten
19,Kapitel 3,Tyrann des Vulkans
