id,name,desc
1,Feuermachete,Der Angriff aller Verbündete wird um 10% erhöht.
2,Zutiefst schmerzlich,"Zu Beginn des Kampfs erleiden alle Gegner 3 Runden lang zufälligen Schaden. Die verursachten Blut-, Gift- und Brennschäden werden um 25% erhöht."
3,Doppelklinge,Der durch Standard Angriff verursachte Schaden wird um 100% erhöht. Nach jedem Standarf Angriff gibt es eine 50%ige Chance den Standard Angriff nochmal freizusetzen.
4,Volles Potenzial,Der Krit. und der Krit. Schaden aller Verbündete werden um 25% erhöht.
5,Schura Arkanum,"Wenn eine Verbündete Schaden erleidet, gibt es eine 75%ige Chance zu einem Gegenangriff (100% ihres Angriffs), muss treffen."
6,Überwachsen,Die Maximale LP aller Verbündete wird um 20% erhöht.
7,Bewölkter Sturm,"LP-Regeneration aller Verbündete wird um 25% erhöht, LP-Regeneration aller Gegner wird um 75% verringert; Jedesmal wenn ein Mädchen geheilt wird, wird dem Gegner mit den höchsten LP ein Schaden (von 5% seiner LP, nicht höher als 80000) zugefügt, muss treffen."
8,Verbundenheit,"Alle Verbündeten erhalten eine Schadensreduzierung von 25%; Wenn eine Verbündete Schaden erleidet, gibt es eine 50%ige Chance den Schaden auf alle Verbündeten zu verteilen."
9,Immunität,Die Immunität gegen Kontrolle aller Verbündete wird um 40% erhöht.
10,Furchtloser Schild,Die Blockrate aller Verbündete wird um 30% erhöht.
11,Ansturm,Die Verbündeten der Front erhöhen ihre Rüstung um 25% und ihre Energieerholung bei Verletzung um 100%.
12,Energiestrom,"Nachdem das Mädchen eine Fertigkeit freigesetzt hat, gibt es eine 25%ige Chance sie nochmal freizusetzen."
13,Böse Zeremonie,Zu Beginn des Kampfs erhalten alle Verbündeten 90% LP und 200 Energie.
14,Blutsaugen,"Wenn die Verbündeten Schaden verursachen, erhalten sie eine gewisse LP (15% des verursachten Schadens)."
15,Heiliger Schutz,"Immun gegen tödlichen Schaden (kann während eines Kampfs nur einmal verwendet werden, kann gestapelt werden)."
