id,desc
1,Stelle Historia als Hintergrundmädchen
2,Stelle 20 zufällige Ausrüstungen her
3,Historia hat Lv.40 erreicht
4,Verbrauche 50.000 Münzen
5,Historias Intimität hat 40 erreicht
6,Verbrauche 500 Dias
7,Historia hat Lv.80 erreicht
8,Historias Intimität hat 80 erreicht
9,Historia hat Lv.100 erreicht
10,Historias Intimität hat 100 erreicht
11,Stelle Sonya als Hintergrundmädchen
12,Sonya hat Lv.40 erreicht
13,Sonya's Intimität erreicht 80
14,Sonya hat Lv.100 erreicht
15,Sonya's Intimität erreicht 100
16,Stelle Dracula als Hintergrundmädchen
17,Stelle 20 zufällige Ausrüstungen her
18,Dracula hat Lv.40 erreicht
19,Verbrauche 50.000 Münzen
20,Draculas Intimität erreicht 40
21,Verbrauche 500 Dias
22,Dracula hat Lv.80 erreicht
23,Draculas Intimität erreicht 80
24,Dracula hat Lv.100 erreicht
25,Draculas Intimität erreicht 100
26,Stelle Iron Fist als Hintergrundmädchen
27,Stelle 20 zufällige Ausrüstungen her
28,Iron Fist hat Lv.40 erreicht
29,Iron Fists Intimität erreicht 10
30,Verwende 15 Geschenkboxen
31,Iron Fists Intimität erreicht 30
32,Verbrauche 70 Geschenkfragmente
33,Iron Fists Intimität erreicht 50
34,Iron Fist hat Lv.100 erreicht
35,Iron Fists Intimität erreicht 80
36,Stelle Knospe als Hintergrundmädchen
37,Knospe erreicht Lv.40
38,Knospes Intimität erreicht 30
39,Verwende 15 Geschenkboxen
40,Knospes Intimität erreicht 60
41,Stelle Gabriel als Hintergrundmädchen
42,Gabriel hat Lv.40 erreicht
43,Gabriel hat intimität 40 erreicht
44,Verwende 500 Dias
45,Gabriel hat intimität 80 erreicht
46,Stelle Aquaris als Hintergrundmädchen
47,Verwende 15 Geschenkboxen
48,Aquaris hat Lv.60 erreicht
49,Stelle 40 zufällige Ausrüstungen her
50,Aquaris hat Intimität 80 erreicht
